id,category_id,name,agb_code,e_climate_change,e_ozone_depletion,e_ionizing_radiation,e_ozone_formation,e_particulate_matter,e_non_carcinogenic_toxicity,e_carcinogenic_toxicity,e_land_water_acidification,e_freshwater_eutrophication,e_marine_eutrophication,e_terrestrial_eutrophication,e_freshwater_ecotoxicity,e_land_use,e_water_use,e_energy_use,e_mineral_use,aw_index,aw_antibio_index,s_child_labour,s_forced_labour,s_fair_salary,s_working_time,s_discrimination,s_health_safety_workers,s_social_benefits_legal_issues,s_workers_rights,s_fair_competition,s_corruption,s_contribution_econ_dev,s_illiteracy,s_health_safety_society,s_indigenous_rights,nutri_score
6e5b2400-d9e5-53e7-a890-86a918ff6583,da753992-7ecf-5e04-9ae6-8214aed2f7c4,Champagne kir (Cocktail of champagne with red fruit liqueur),1019,1.56,0.00,0.48,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,22.50,103.00,0.46,27.10,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
6dd9e46b-c054-5ea5-9147-b9e5b5ac9016,da753992-7ecf-5e04-9ae6-8214aed2f7c4,Kir (Cocktail of white wine with red fruit liqueur),1018,1.55,0.00,0.48,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,22.50,105.00,0.43,26.90,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
47ba9f80-7996-5e34-bde1-66753b06542f,da753992-7ecf-5e04-9ae6-8214aed2f7c4,Sangria,1017,1.36,0.00,0.41,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.03,19.20,64.50,2.72,23.30,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
4a0cb8ff-9223-5b49-a17e-dbbb1f0cf256,c3891750-8f98-5193-8b74-06fe453e8361,"Cocktail, punch type, 16% alcohol",1022,1.25,0.00,0.33,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,43.40,22.90,0.82,20.70,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
e9f30793-49db-5fb1-b539-6a3e69bd369a,94e963ba-e490-59a6-947c-577a4d5b17de,Shandy (beer + lemonade),5004,1.23,0.00,0.44,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,15.20,16.80,0.33,22.80,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
12d62713-bbe7-562a-a320-11a88e3e0f16,94e963ba-e490-59a6-947c-577a4d5b17de,"Shandy, prepacked (<1° alcohol)",5005,1.23,0.00,0.44,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,15.20,16.80,0.33,22.80,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
57e3a13d-fa42-5cac-8343-757ed534b6c9,405cbb4c-92db-5e0b-9647-52d79a6e8858,"Beer, alcohol-free (<1,2° alcohol)",5030,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,Nutriscore_C
cff90fbf-4c77-5a5b-a902-177878391a01,3bf71d24-7db7-5be7-80fc-de05ffed9a3a,"Beer, low alcohol-content (3° alcohol)",5008,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
11cb2618-d64f-5956-bcf9-ff5167050fec,ef317323-ff71-5f4e-ad01-4855d3b4a7ed,"Beer, regular (4-5° alcohol)",5001,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
1f989ca1-f43b-5b7f-9af3-8a681d4fa53b,3fbafc3e-d18e-5f73-8947-067014ec8460,"Beer, ""specialty"", from abbey or regional (varying alcohol content)",5011,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
2156279f-cab3-5a16-98ea-acd0254cd6cf,3fbafc3e-d18e-5f73-8947-067014ec8460,"Beer, dark",5000,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
5520c0af-cb98-592d-9caa-eaa879227b94,3fbafc3e-d18e-5f73-8947-067014ec8460,"Beer, special (5-6° alcohol)",5010,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
ecbf266c-cabb-5b76-988f-3bb8c072f2c3,3fbafc3e-d18e-5f73-8947-067014ec8460,"Beer, strong (>8° alcohol)",5002,1.35,0.00,0.60,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,11.90,17.00,0.26,27.30,0.00,0,0,0.00,0.01,0.41,0.01,0.26,0.19,0.06,0.56,0.00,0.20,-0.03,0.02,0.02,0.02,0
135967c7-3755-597a-9a62-6add57e675f6,4201c3c5-b9bd-5a66-a498-448e82ebd268,Blackcurrant liqueur,1021,1.74,0.00,0.38,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.04,23.40,61.70,1.16,29.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
373253df-a278-5a4e-8166-2b34db0bf298,4201c3c5-b9bd-5a66-a498-448e82ebd268,Liqueur,1003,1.59,0.00,0.28,0.01,0.00,0.00,0.00,0.02,0.00,0.01,0.08,37.90,55.80,1.24,23.30,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
e53acd73-7ab4-5b09-ab78-16922bc597e0,9120735a-f609-5a8e-9481-3a40a8390fa8,Pure alcohol,1014,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
eb9527dc-d3ce-517b-be28-34420239a2e6,ecda7ba2-db85-5146-abb5-718aca650681,Clear fruit brandy or eau-de-vie,1001,1.25,0.00,0.28,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.20,18.30,0.17,20.90,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
ae1cffa0-5b44-58b0-be8b-8d8017a9ffc9,ecda7ba2-db85-5146-abb5-718aca650681,"Spirit made from wine, armagnac or cognac type",1023,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
5370a3c6-7acb-561e-8134-217c00d95740,11a600cb-35eb-531a-b3a4-bc1d50af315d,Gin,1002,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
1a3fc21c-e8fd-5760-b264-0c35d5c7f698,60f43c4c-f555-548e-87b6-1702b1bca3b2,Rum,1004,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
6d02584b-ff28-5a73-bd0e-acef386c544b,60f43c4c-f555-548e-87b6-1702b1bca3b2,Rum-based cocktail,1012,1.10,0.00,0.25,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,19.80,24.10,0.70,17.90,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
753e6e3a-0d59-5b7e-8d89-63b5a64a914f,90880c10-e3a6-58a1-aeff-f900ec058a4f,Sparkling fruit wine,5100,2.14,0.00,0.55,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.04,26.40,105.00,0.56,34.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
81808a1d-62c4-5a24-beb5-e08ac1e8569d,c8f50e3e-4ad8-52cd-80d7-653d45e6005a,Pastis (anise-flavoured spirit),1000,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
41a43804-12f8-5937-a7c7-454641284e94,6e2417c5-ef2a-5b69-ac10-7a198804372a,Sake or rice wine,1026,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
3a6f2020-64ba-5177-b77d-cfae6368d08b,6e2417c5-ef2a-5b69-ac10-7a198804372a,Vodka,1008,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
e4c8da66-e818-57b8-af47-493fb6b735c1,154c117f-3b1f-555f-89d3-69e98fd09883,Whiskey-based cocktail,1013,1.05,0.00,0.27,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.45,11.70,0.16,18.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
74d5452c-2ec9-53f6-a3a6-c4c84576ff82,154c117f-3b1f-555f-89d3-69e98fd09883,Whisky,1005,1.26,0.00,0.32,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,10.30,18.40,0.17,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
946b5faa-91ef-524b-9d6d-0a860d7648a3,0afef90b-a040-5ca1-8080-5a356e9cae93,Marsala wine,1015,1.22,0.00,0.40,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.02,18.90,95.60,0.20,21.80,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
65011046-8629-5794-bd14-68edb7edcded,0afef90b-a040-5ca1-8080-5a356e9cae93,"Wine, red",5214,1.27,0.00,0.41,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.02,19.00,99.40,0.23,22.50,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
f7740543-0d06-5af4-b621-41ee3ceff778,0afef90b-a040-5ca1-8080-5a356e9cae93,"Wine, rose",5216,1.46,0.00,0.40,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.02,21.10,112.00,0.25,23.90,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
