Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Amari Ανθότυρος Ξηρός,Milk and dairy products,Cheese,,,,https://kritis.gr/product/amari-anthotyros-xiros/,Greek whey cheese
Amari Γραβιέρα Κρήτης ΠΟΠ Συσκευασμένη 400 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/amari-graviera-kritis-pop-syskevasmeni-400-gr/,
Amari Ξινομυζήθρα Κρήτης ΠΟΠ 400 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/amari-xinomyzithra-kritis-pop-400-gr/,Greek whey cheese
Bliss Point Γραβιέρα Παλαιωμένη με 4 Πιπέρια,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/bliss-point-graviera-palaiomeni-me-4-piperia/,
Leader Τυρί Κατσικίσιο Σε Φέτες 150 gr,Milk and dairy products,Cheese,"Cheese, Capra","Cheese, from goat's milk",B,https://kritis.gr/product/hellenic-farms-tyri-katsikisio-se-fetes-150-gr/,
Zeus’ Caven Ξυλούρης Γραβιέρα Κρήτης ΠΟΠ,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/xylouris-tyri-graviera-kritis-pop/,
Zeus’ Caven Ξυλούρης Γραβιέρα Παλαιάς Ωρίμανσης 24 Μηνών Συσκευασμένη,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/graviera-xylouri-p-o-p/,
Γαλένι Γαλoμυζήθρα 250 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/galeni-galomyzithra-250-gr/,Greek whey cheese
Γαλομυζήθρα Κωστάκη 500 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/galomyzithra-kostaki-500-gr/,Greek whey cheese
Γεράκι Τυρί Γραβιέρα,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/geraki-tyri-graviera/,
Δίκτη Ανθότυρος Ξηρός,Milk and dairy products,Cheese,,,,https://kritis.gr/product/dikti-anthotyros-xiros/,Greek whey cheese
Δίκτη Μυζήθρα Γλυκιά,Milk and dairy products,Cheese,,,,https://kritis.gr/product/dikti-myzithra-glykia/,Greek whey cheese
Ένωση Μυλοποτάμου Ανθότυρος Ξηρός,Milk and dairy products,Cheese,,,,https://kritis.gr/product/enosi-mylopotamou-anthotyros-xiros/,Greek whey cheese
Ένωση Μυλοποτάμου Γραβιέρα,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/enosi-mylopotamou-tyri-graviera/,
