id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
7df8d198-df4d-5448-ac78-34c3437a9db6,el,Κοτόπουλο,chicken,chicken meat,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus)
4f4de760-665a-5d16-850a-0e3989fd1b7f,el,Πετεινός,rooster,rooster (cockerel) meat,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus)
bb6b498e-84a0-5f7c-b532-fe0e01a9343f,el,Γαλοπούλα,turkey,turkey meat,Meat and meat products (including edible offal),Poultry,Turkey meat (Meleagris gallopavo)
76076a14-ce70-5555-98a3-665202beadcc,el,Βόειο,beef,"beef, meat of cattle",Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.)
05ffaf05-a9c4-5614-ad82-2efaec4febe5,el,Χοιρινό,pork,"pork, meat of pig",Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa)
f48a8933-3d75-53f0-aa62-285cf8bd1553,el,Χοιρίδιο,suckling pig,suckling pig (piglet) meat,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa)
1072f082-e8ab-5c8c-b9da-666d7e3868c4,el,Κατσίκι,kid / goat,kid (young goat) meat,Meat and meat products (including edible offal),Livestock meat,Goat / kid meat (Capra hircus)
d50a30e9-d192-5c56-81da-fd2862ac93f4,el,Γίδα,goat,goat (adult) meat,Meat and meat products (including edible offal),Livestock meat,Goat / kid meat (Capra hircus)
2931ddcc-1ce8-5619-bc29-36a7badbfd7d,el,Αρνί,lamb,lamb meat,Meat and meat products (including edible offal),Livestock meat,Mutton / lamb meat (Ovis aries)
534f1b7e-f7bc-5b93-8c94-69f2402db8e8,el,Πρόβατο,mutton / sheep,"mutton, meat of adult sheep",Meat and meat products (including edible offal),Livestock meat,Mutton / lamb meat (Ovis aries)
0538bb29-8351-5e96-a56d-0f4756510807,el,Κουνέλι,rabbit,rabbit meat,Meat and meat products (including edible offal),Livestock meat,Rabbit meat (Lepus cuniculus)
