Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Creta Farms “Χωρίς” Γαλοπούλα Ψητή Σε Φέτες 0-3% Χωρίς Γλουτένη 200 gr,Meat and meat products (including edible offal),Preserved meat,"Ham, turkey","Turkey cooked ham, in slices",B,https://kritis.gr/product/creta-farms-choris-galopoula-psiti-se-fetes-0-3-choris-glouteni-200-gr/,
Creta Farms “Χωρίς” Ζαμπόν Καπνιστό Σε Φέτες 0-3% Χωρίς Γλουτένη 200 gr,Meat and meat products (including edible offal),Preserved meat,"Cooked Ham, Pork","Cooked ham, smoked",B,https://kritis.gr/product/creta-farms-choris-zabon-kapnisto-se-fetes-0-3-choris-glouteni-200-gr/,
Creta Farms Εν Ελλάδι Gourmet Γαλοπούλα Καπνιστή Με Ελαιόλαδο Χωρίς Γλουτένη,Meat and meat products (including edible offal),Preserved meat,"Ham, turkey","Turkey cooked ham, in slices",B,https://kritis.gr/product/creta-farms-en-elladi-gourmet-galopoula-kapnisti-me-elaiolado-choris-glouteni/,
Creta Farms Εν Ελλάδι Gourmet Μπριζόλα Καπνιστή Με Ελαιόλαδο Χωρίς Γλουτένη,Meat and meat products (including edible offal),Preserved meat,"Cooked Ham, Pork","Cooked ham, smoked",B,https://kritis.gr/product/creta-farms-en-elladi-gourmet-brizola-kapnisti-me-elaiolado-choris-glouteni/,
Creta Farms Εν Ελλάδι Γαλοπούλα Βραστή Με Ελαιόλαδο Σε Φέτες Χωρίς Γλουτένη 160 gr,Meat and meat products (including edible offal),Preserved meat,"Ham, turkey","Turkey cooked ham, in slices",B,https://kritis.gr/product/creta-farms-en-elladi-galopoula-vrasti-me-elaiolado-se-fetes-choris-glouteni-160-gr-040e/,
Creta Farms Εν Ελλάδι Γαλοπούλα Καπνιστή Με Ελαιόλαδο Σε Φέτες Χωρίς Γλουτένη 160 gr,Meat and meat products (including edible offal),Preserved meat,"Ham, turkey","Turkey cooked ham, in slices",B,https://kritis.gr/product/creta-farms-en-elladi-galopoula-kapnisti-me-elaiolado-se-fetes-choris-glouteni-160-gr-040e/,
Creta Farms Εν Ελλάδι Καπνιστή Χοιρινή Μπριζόλα Με Ελαιόλαδο Χωρίς Γλουτένη 120 gr,Meat and meat products (including edible offal),Preserved meat,"Cooked Ham, Pork","Cooked ham, smoked",B,https://kritis.gr/product/creta-farms-en-elladi-kapnisti-choirini-brizola-me-elaiolado-choris-glouteni-120-gr/,
Creta Farms Εν Ελλάδι Λουκάνικα Φρανκφούρτης Με Ελαιόλαδο Χωρίς Γλουτένη 300 gr,Meat and meat products (including edible offal),Sausages,Cooked smoked sausage,Frankfurter sausage,A,https://kritis.gr/product/creta-farms-en-elladi-loukanika-frankfourtis-me-elaiolado-choris-glouteni-300-gr-020e/,
Creta Farms Εν Ελλάδι Σαλάμι Αέρος Με Ελαιόλαδο Χωρίς Γλουτένη 200 gr,Meat and meat products (including edible offal),Sausages,Dry sausage,"Salami, pure pork",B,https://kritis.gr/product/creta-farms-en-elladi-salami-aeros-me-elaiolado-choris-glouteni-200-gr/,
Creta Farms Εν Ελλάδι Σαλάμι Αέρος Πικάντικο Με Ελαιόλαδο Χωρίς Γλουτένη,Meat and meat products (including edible offal),Sausages,Dry sausage,Dry spicy pork sausage with red pepper,B,https://kritis.gr/product/creta-farms-en-elladi-salami-aeros-pikantiko-me-elaiolado-choris-glouteni/,
Creta Farms Λουκάνικα Χωριάτικα Με Γραβιέρα Χωρίς Γλουτένη 400 gr,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/creta-farms-loukanika-choriatika-me-graviera-choris-glouteni-400-gr/,
Creta Farms Λουκάνικα Χωριάτικα Με Μυρωδικά Χωρίς Γλουτένη 400 gr,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/creta-farms-loukanika-choriatika-me-myrodika-choris-glouteni-400-gr/,
Creta Farms Λουκάνικα Χωριάτικα Με Πράσο Χωρίς Γλουτένη 400 gr,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/creta-farms-loukanika-choriatika-me-praso-choris-glouteni-400-gr/,
Creta Farms Λουκάνικα Χωριάτικα Πικάντικα Χωρίς Γλουτένη 400 gr,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/creta-farms-loukanika-choriatika-pikantika-choris-glouteni-400-gr/,
Tostaki Λουκάνικα Κοκτέιλ Χωρίς Γλουτένη 250 gr,Meat and meat products (including edible offal),Sausages,Semi-dry sausage,Cocktail sausage,A,https://kritis.gr/product/tostaki-loukanika-kokteil-250-gr/,
Tostaki Λουκάνικα Ριγανάτα Χωρίς Γλουτένη 320 gr,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/tostaki-loukanika-riganata-choris-glouteni-320-gr/,
Tostaki Παριζάκι Χωρίς Γλουτένη 330 gr,Meat and meat products (including edible offal),Sausages,Semi-dry sausage,"Mortadella, pure pork",B,https://kritis.gr/product/tostaki-parizaki-choris-glouteni-330-gr/,
Αλλαντικά Κασσάκη Λουκάνικο Πρόβειο Χωρίς Γλουτένη 160 gr,Meat and meat products (including edible offal),Mixed meat,Mixed beef and mutton/lamb meat,"Merguez sausage, beef and mutton, raw",C,https://kritis.gr/product/allantika-kassaki-loukaniko-proveio-160-gr/,
Αλλαντική  Κασσάκη Πανσέτα Καπνιστή Σε Μερίδες Χωρίς Γλουτένη 300 gr,Meat and meat products (including edible offal),Preserved meat,Bacon,"Bacon, back",B,https://kritis.gr/product/allantiki-kassaki-panseta-kapnisti-se-merides-300-gr/,
