Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Creta Farms Εν Ελλάδι Νοστιμιές Κεφτεδάκια 420 gr,Composite food (including frozen products),Meat-based meals,Meat balls,"Beef, meat balls, cooked",B,https://kritis.gr/product/creta-farms-en-elladi-nostimies-keftedakia-420-gr/,
Creta Farms Εν Ελλάδι Νοστιμιές Μπιφτέκια Κοτόπουλου 420 gr,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Poultry, minced meat",C,https://kritis.gr/product/creta-farms-en-elladi-nostimies-biftekia-kotopoulou-420-gr/,no poultry-burger archetype; mapped species-first to minced poultry
Creta Farms Εν Ελλάδι Νοστιμιές Σουτζουκάκια Με Σάλτσα 500 gr,Composite food (including frozen products),Meat-based meals,Meat balls,"Meat balls, beef, with tomato sauce",B,https://kritis.gr/product/creta-farms-en-elladi-nostimies-soutzoukakia-me-saltsa-500-gr/,
Creta Farms Πίτσα Με Γύρο Κοτόπουλο 500 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,"Pizza, chicken",B,https://kritis.gr/product/creta-farms-pitsa-me-gyro-kotopoulo-500-gr/,
Creta Farms Πίτσα Με Γύρο Χοιρινό 500 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,"Pizza, kebab",B,https://kritis.gr/product/creta-farms-pitsa-me-gyro-choirino-500-gr/,
Green & Yellows Ανθοί Κολοκυθιού Γεμιστοί Vegan 250 gr,Composite food (including frozen products),Meat-based meals,Meat balls,Stuffed vegetables (excluding tomato),C,https://kritis.gr/product/ta-meraklidika-anthoi-kolokythiou-gemistoi-250-gr/,"vegan (γιαλαντζί); archetype is a meat-based-meals stuffed-vegetable, may overstate impact"
Green & Yellows Ντολμαδάκια Vegan 250 gr,Composite food (including frozen products),Meat-based meals,Meat balls,Stuffed vegetables (excluding tomato),C,https://kritis.gr/product/green-yellows-ntolmadakia-vegan-250-gr/,"vegan (γιαλαντζί); archetype is a meat-based-meals stuffed-vegetable, may overstate impact"
Creta Farms Εν Ελλάδι Νοστιμιές Κοτομπουκιές 400 gr,Composite food (including frozen products),Meat-based meals,Meat croquettes,Poultry nuggets,A,https://kritis.gr/product/en-elladi-nostimies-kotoboukies-400-gr/,
Creta Farms Εν Ελλάδι Γύρος Χοιρινός Προψημένος Χωρίς Γλουτένη 330 gr,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, cooked",C,https://kritis.gr/product/en-elladi-gyros-choirinos-propsimenos-choris-glouteni-330-gr/,"gyros/doner; no gyros archetype, mapped to plain cooked pork"
Creta Farms Εν Ελλάδι Γύρος Κοτόπουλο Προψημένος Χωρίς Γλουτένη 330 gr,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, meat and skin, roasted/baked",C,https://kritis.gr/product/en-elladi-gyros-kotopoulo-propsimenos-choris-glouteni-330-gr/,"gyros/doner; no gyros archetype, mapped to plain roasted chicken"
