Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Tsiknakis Οικογένεια Τσικνάκη Παξιμάδι Κρίθινο Βιολογικό 400 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/tsiknakis-oikogeneia-tsiknaki-paximadi-krithino-viologiko-400-gr/,barley rusk; no barley archetype (mapped to generic Rusk)
Αρτοποιία Τσατσάκης Παξιμάδι Κρητικοφουρνιές Vegan 400 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/artopoiia-tsatsakis-paximadi-kritikofournies-vegan-400-gr/,"traditional Cretan/Sfakian rusk, grain unstated; assumed barley"
Βετεράνο Παξιμαδάκια Με Χαρούπι 300 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/veterano-paximadakia-me-charoupi-300-gr/,carob rusk; flavour/additive not captured by base rusk archetype
Βετεράνο Παξιμάδι Εφτάζυμο 500 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/veterano-paximadi-eftazymo-500-gr/,eftazymo (chickpea-leavened wheat) rusk; leavening not captured
Βετεράνο Παξιμάδι Κριθαροκουλούρα Ολικής Άλεσης 700 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk","Rusk, wholemeal or rich in fibre",B,https://kritis.gr/product/veterano-paximadi-kritharokouloura-olikis-alesis-700-gr/,barley rusk; no barley archetype (mapped to generic Rusk)
Βετεράνο Παξιμάδι Κριθαροκουλουρίτσα Ολικής Άλεσης 700 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk","Rusk, wholemeal or rich in fibre",B,https://kritis.gr/product/veterano-paximadi-kritharokoulouritsa-olikis-alesis-700-gr/,barley rusk; no barley archetype (mapped to generic Rusk)
Βετεράνο Παξιμάδι Κρίθινο 500 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/veterano-paximadi-krithino-500-gr/,barley rusk; no barley archetype (mapped to generic Rusk)
Βετεράνο Παξιμάδι Μπουκιές Επτάζυμες 500 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/veterano-paximadi-boukies-eptazymes-500-gr/,eftazymo (chickpea-leavened wheat) rusk; leavening not captured
Βετεράνο Παξιμάδι Σταρένιο Ολικής Άλεσης 500 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk","Rusk, wholemeal or rich in fibre",A,https://kritis.gr/product/veterano-paximadi-starenio-olikis-alesis-500-gr/,
Ερωφίλη Αυγενάκης Παξιμάδι Κουλουράκια Κρίθινα 600 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/erofili-avgenakis-paximadi-koulourakia-krithina-600-gr/,barley rusk; no barley archetype (mapped to generic Rusk)
Ερωφίλη Αυγενάκης Παξιμάδι Κρίθινο Ελιάς 380 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/erofili-avgenakis-paximadi-krithino-elias-380-gr/,olive rusk; flavour/additive not captured by base rusk archetype; barley rusk; no barley archetype (mapped to generic Rusk)
Ερωφίλη Αυγενάκης Παξιμάδι Ντακάκι Ντομάτας 300 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/erofili-avgenakis-paximadi-ntakaki-ntomatas-300-gr/,tomato rusk; flavour/additive not captured by base rusk archetype; barley rusk; no barley archetype (mapped to generic Rusk)
Ερωφίλη Αυγενάκης Παξιμάδι Ντακάκι Ρίγανης 300 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/erofili-avgenakis-paximadi-ntakaki-riganis-300-gr/,oregano rusk; flavour/additive not captured by base rusk archetype; barley rusk; no barley archetype (mapped to generic Rusk)
Καραμολέγκος Παξαμάς Με Χαρούπι Διπλοφουρνιστός 400 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/karamolegkos-paxamas-me-charoupi-diplofournistos-400-gr/,carob rusk; flavour/additive not captured by base rusk archetype
Κρητών Άρτος Κουλούρα Λαδιού Με Προζυμι 500 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/kriton-artos-kouloura-ladiou-me-prozymi-500-gr/,olive-oil rusk; flavour/additive not captured by base rusk archetype
Κρητών Άρτος Κρητικά Παξιμάδια Κριθαρένια ΠΓΕ 600 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,B,https://kritis.gr/product/kriton-artos-kritika-paximadia-kritharenia-pge-600-gr/,barley rusk; no barley archetype (mapped to generic Rusk)
Κρητών Άρτος Παξιμαδάκια Με Γεύση Σκόρδο 400 gr,Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk",Rusk,C,https://kritis.gr/product/kriton-artos-paximadakia-me-gefsi-skordo-400-gr/,garlic rusk; flavour/additive not captured by base rusk archetype
