Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Χαλκιαδάκης Αλεύρι Για Όλες Τις Χρήσεις 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 65",A,https://kritis.gr/product/alefri-chalkiadakis-goch-1kg/,all-purpose flour
Μύλοι Κρήτης Αλεύρι Για Όλες Τις Χρήσεις 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 65",A,https://kritis.gr/product/alefri-kritis-olon-ton-chris-1kg/,all-purpose flour
Μύλοι Κρήτης Αλεύρι Σκληρό 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 55 (for bread)",B,https://kritis.gr/product/alefri-ariston-skliro-1kg/,"hard/durum wheat flour; mapped to strong (bread) flour, species drift"
Μύλοι Κρήτης Αλεύρι Μαλακό 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 55 (for pastry)",A,https://kritis.gr/product/alefri-ariston-malako-1kg/,soft wheat flour
Μύλοι Κρήτης Μίγμα Για Χωριάτικο Ψωμί 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 80",B,https://kritis.gr/product/alefri-migma-gia-choriat-psomi-1kg/,"country-bread flour mix; higher-extraction, mix composition not captured"
Μύλοι Κρήτης Αλεύρι Για Τσουρέκι 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 55 (for bread)",B,https://kritis.gr/product/alefri-myl-kritis-tsoureki-1kil/,tsoureki (strong/high-gluten) flour
Μύλοι Κρήτης Αλεύρι Βιολογικής Καλλιέργειας 1 kg,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, type 65",B,https://kritis.gr/product/alefri-myloi-kritis-1kg-viokalli/,"organic; type unspecified, assumed all-purpose"
Μύλοι Κρήτης Φαρίνα 500 gr,Grains and grain-based products,Grain milling products,Wheat milling products,"Wheat flour, self-raising",A,https://kritis.gr/product/farina-myloi-kritis-500gr/,farina (self-raising flour)
Creta Carob Ωμό Χαρουπάλευρο Χωρίς Γλουτένη 300 gr,,,,,,https://kritis.gr/product/alefri-apo-charoupi-300gr/,carob flour (χαρουπάλευρο); no carob archetype in WP3 (not a cereal)
Creta Carob Ωμό Χαρουπάλευρο Βιολογικό Χωρίς Γλουτένη 300 gr,,,,,,https://kritis.gr/product/alefri-apo-charoupi-vio-300gr/,"carob flour (χαρουπάλευρο), organic; no carob archetype in WP3 (not a cereal)"
