Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Αρχοντάκη Ελληνικός Καφές 192 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/archontaki-ellinikos-kafes-192-gr/,"Greek coffee, finely ground roasted coffee"
Τσιρογαλάκη Ελληνικός Καφές 100 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/tsirogalaki-ellinikos-kafes-100-gr/,"Greek coffee, finely ground roasted coffee"
Μανωλικάκη Καφές Ελληνικός 96 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/manolikaki-kafes-ellinikos-96-gr/,"Greek coffee, finely ground roasted coffee"
Δανδάλη Φρεσκοαλεσμένος Καφές Ελληνικός,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/kafes-dandali-chyma-ellinik-spyri/,"Greek coffee, freshly ground roasted coffee"
Δανδάλη Καφές Ελληνικός 100 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/kafes-dandali-100gr/,"Greek coffee, finely ground roasted coffee"
Δανδάλη Καφές Ελληνικός 200 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/kafes-dandali-200gr/,"Greek coffee, finely ground roasted coffee"
Δανδάλη Καφές Ελληνικός 500 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/kafes-dandali-500-gr/,"Greek coffee, finely ground roasted coffee"
Δανδάλη Καφές Ελληνικός Ελαφρύς 100 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/kafes-dandali-100gr-elafrys/,"Greek coffee, light roast; roast level not captured"
Δανδάλη Καφές Ελληνικός Decafeine 100 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground, decaffeinated","Decaffeinated not instant coffee, without sugar, ready-to-drink",B,https://kritis.gr/product/kafes-dandali-ell-decafeine-100g/,"Greek coffee, decaffeinated; filed under solid decaf ground-coffee L3 but food_product label reads 'ready-to-drink'"
Δανδάλη Καφές Γαλλικός 250 gr,Vegetables and vegetable products (including fungi),Coffee beans and coffee products (Solid),"Coffee beans, roasted and ground","Coffee, ground",A,https://kritis.gr/product/kafes-dandali-gallikos-250gr/,"French coffee (Gallikos), roasted ground; filter/coarse grind not captured"
Cretan Beauty Δίκταμος Βιολογικός 50 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Herbal tea, infusion","Infusion, brewed, without sugar",B,https://kritis.gr/product/cretan-beauty-diktamos-viologikos-50-gr/,dittany infusion; dry product mapped to brewed herbal-infusion beverage archetype (no usable dry-herb archetype in WP3); specific herb not differentiated
Cretan Beauty Τσάι Mix Γιαγιά Βιολογικό 50 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Herbal tea, infusion","Infusion, brewed, without sugar",B,https://kritis.gr/product/cretan-beauty-tsai-mix-giagia-viologiko-50-gr/,herb blend infusion; dry product mapped to brewed herbal-infusion beverage archetype (no usable dry-herb archetype in WP3); specific herb not differentiated
Cretan Beauty Τσάι Mix Του Παππού Βιολογικό 50 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Herbal tea, infusion","Infusion, brewed, without sugar",B,https://kritis.gr/product/cretan-beauty-tsai-mix-pappous-viologiko-50-gr/,herb blend infusion; dry product mapped to brewed herbal-infusion beverage archetype (no usable dry-herb archetype in WP3); specific herb not differentiated
Cretan Beauty Τσάι Του Βουνού Βιολογικό 50 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Herbal tea, infusion","Infusion, brewed, without sugar",B,https://kritis.gr/product/cretan-beauty-tsai-tou-vounou-viologiko-50-gr/,mountain tea (Sideritis) infusion; dry product mapped to brewed herbal-infusion beverage archetype (no usable dry-herb archetype in WP3); specific herb not differentiated
Thamma Αφέψημα Cretan Daylight Βιολογικό Vegan Χωρίς Γλουτένη 10 x 1.4 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Herbal tea, infusion","Infusion, brewed, without sugar",B,https://kritis.gr/product/thamma-afepsima-cretan-daylight-viologiko-vegan-choris-glouteni-10-x-1-4-gr/,herbal blend infusion; dry product mapped to brewed herbal-infusion beverage archetype (no usable dry-herb archetype in WP3); specific herb not differentiated
Thamma Αφέψημα Pure Green Tea Βιολογικό Vegan 12 x 2 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Green tee, infusion","Green tea, brewed, without sugar",B,https://kritis.gr/product/thamma-afepsima-pure-green-tea-viologiko-vegan-12-x-2-gr/,green tea; dry product mapped to brewed-tea beverage archetype (no usable dry-tea-leaf archetype in WP3 — solid tea L2 is a mislabelled stub)
Thamma Αφέψημα Velvet Black Tea Βιολογικό Vegan Χωρίς Γλουτένη 12 x 2 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Black tea, infusion","Black tea, brewed, without sugar",B,https://kritis.gr/product/thamma-afepsima-velvet-black-tea-viologiko-vegan-choris-glouteni-12-x-2-gr/,black tea; dry product mapped to brewed-tea beverage archetype (no usable dry-tea-leaf archetype in WP3 — solid tea L2 is a mislabelled stub)
Κοπέλι Πράσινο Τσάι Ιβίσκος & Κανέλα 20 x 1.8 gr,Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Green tee, infusion","Green tea, brewed, without sugar",B,https://kritis.gr/product/kopeli-prasino-tsai-iviskos-kanela-20-x-1-8-gr/,"green tea + hibiscus, cinnamon; dry product mapped to brewed-tea beverage archetype (no usable dry-tea-leaf archetype in WP3 — solid tea L2 is a mislabelled stub)"
"Κοπέλι Στιγμιαίο Αφέψημα Τσάι Με Λουίζα & Μέντα 20 x 1,2 gr",Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Herbal tea, infusion","Infusion, brewed, without sugar",B,https://kritis.gr/product/kopeli-stigmiaio-afepsima-tsai-me-louiza-menta-20-x-12-gr/,"lemon verbena, mint infusion; dry product mapped to brewed herbal-infusion beverage archetype (no usable dry-herb archetype in WP3); specific herb not differentiated"
