Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Κρητικές Ζύμες Χυλοπίτες Ν2 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, with eggs","Dried egg pasta, raw",A,https://kritis.gr/product/chylopites-n2-krit-zymes-500gr/,"Cretan egg noodles (chylopites), durum semolina + egg + milk; traditional milk not captured"
Κρητικές Ζύμες Χυλοπίτες Φαρδιές 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, with eggs","Dried egg pasta, raw",A,https://kritis.gr/product/chylopites-fardia-krit-zymes-500g/,"Cretan egg noodles (chylopites), wide; semolina + egg + milk; milk not captured"
Μαγγίρι Χυλοπίτες 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, with eggs","Dried egg pasta, raw",A,https://kritis.gr/product/chylopites-mangiri-400gr/,"Cretan egg noodles, fresh egg + sheep/goat milk + semolina; milk not captured"
Μαγγίρι Χυλοπιτάκι 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, with eggs","Dried egg pasta, raw",A,https://kritis.gr/product/chylopitaki-mangiri-400gr/,"Cretan egg noodles (small chylopitaki), egg + milk + semolina; milk not captured"
Melko Πάστα Σκιουφικτό 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/makaronia-melko-500gr-skioufikto/,"Cretan hand-twisted pasta (skioufikto), 100% durum semolina + water"
Melko Σκιουφικτό 1 kg,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/makaronia-melko-1kil-skiouf/,"Cretan hand-twisted pasta (skioufikto), 100% durum semolina + water"
Melko Σκιουφικτό Mε Χαρούπι 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",C,https://kritis.gr/product/pasta-melko-skioufikto-charou500g/,"carob-flour pasta (charoupalevro first-listed + semolina); carob absent from WP3, mapped to plain dry pasta"
Melko Πάστα Σκιουφικτά Βιολογικό 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/pasta-melco-400gr-skiouf-violog/,"Cretan hand-twisted pasta (skioufikto), organic; durum semolina"
Μαγγίρι Βίδες 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/vides-mangiri-400gr/,durum semolina fusilli (vides)
Μαγγίρι Βίδες Ολικής Δίκοκκο Σιτάρι 250 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat wholemeal, without eggs","Dried pasta, wholemeal, raw",B,https://kritis.gr/product/vides-olikis-dikokko-sit-mag250g/,wholemeal emmer (dikokko) fusilli; emmer species not captured by generic wholemeal pasta
Μαγγίρι Βίδες Λαχανικών 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",B,https://kritis.gr/product/vides-lachanikon-mangiri-400gr/,vegetable fusilli (beetroot-carrot-spinach); vegetables not captured
Μαγγίρι Βίδες Με Ανθότυρο 250 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",B,https://kritis.gr/product/vides-me-anthotyro-mangiri-250gr/,semolina fusilli with Cretan anthotyro (whey cheese); cheese not captured
Μαγγίρι Πάστα  Κριθαράκι 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, with eggs","Dried egg pasta, raw",A,https://kritis.gr/product/pasta-mangiri-kritharaki-400gr/,"orzo (kritharaki), egg + sheep milk + semolina -> egg pasta; milk not captured"
Μαγγίρι Ζυμαρικά Παραδοσιακά 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/zymarika-mangiri-paradosiako400g/,"traditional wheat-flour pasta, no egg (white + wheat flour)"
Melko Μακαρόνια Σπαγγετίνη Ν10 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/makaronia-melko-spangetini-n10/,"spaghettini (thin spaghetti), 100% durum semolina"
Melko Κριθαράκι Χωριάτικο  500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/pasta-melko-kritharaki-500gr/,"orzo (kritharaki), 100% durum semolina, no egg"
Melko Μακαρόνια Σπαγγετίνη Ν10 Βιολογικά 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/makaronia-melko-500ml-n10-bio/,"spaghettini, organic, durum semolina"
Melko Μακαρόνια Μεσσαρίτικα 500 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",A,https://kritis.gr/product/makaronia-melco-500gr-messaritik/,"Messara-style macaroni, durum semolina"
Melko Μακαρόνια Φύλλο Ελιάς Βιολογικά 400 gr,Grains and grain-based products,Pasta (Raw),"Pasta, wheat flour, without eggs","Dried pasta, raw",B,https://kritis.gr/product/pasta-melco-400gr-fyl-elias-viol/,olive-leaf-shaped pasta coloured with spinach; spinach not captured
Melko Χόντρος Κρητικός 1 kg,Grains and grain-based products,Grains for human consumption,Wheat grain,"Wheat bulgur, raw",B,https://kritis.gr/product/kritikos-chondros-melko-1k/,"Cretan chondros = coarse cracked durum wheat (100% wheat, no milk); mapped to bulgur (parboiling status differs)"
