Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Ακτινίδια Ελληνικά,Fruit and fruit products,Miscellaneous fruits,Kiwi (Actinidia deliciosa syn. A. chinensis),"Kiwi fruit, pulp and seeds, raw",A,https://kritis.gr/product/aktinidia-ellinika/,fresh kiwifruit
Βερύκοκα Ελληνικά,Fruit and fruit products,Stone fruits,Apricots (Prunus armeniaca),"Apricot, pitted, raw",A,https://kritis.gr/product/verykoka-ellinika/,fresh apricots
Καρπούζι Ελληνικό,Vegetables and vegetable products (including fungi),Fruiting vegetables,Watermelons (Citrullus lanatus),"Watermelon, pulp, raw",A,https://kritis.gr/product/karpouzi-kritis/,"fresh watermelon; SAFAD classifies watermelon (a cucurbit) under vegetables, not fruit"
Κεράσια Ελληνικά,Fruit and fruit products,Stone fruits,Sweet cherry (Prunus avium),"Cherry, pitted, raw",A,https://kritis.gr/product/kerasia-ellinika/,"fresh cherries; generic dessert cherry assumed sweet (Prunus avium), not sour/morello"
Μήλα Στάρκιν Α'' Ελληνικά,Fruit and fruit products,Pome fruits,Apple (Malus domesticus),"Apple, pulp and peel, raw",A,https://kritis.gr/product/mila-starkin-a-ellinika/,"fresh Starking (red) apples, first grade; cultivar not differentiated by the single apple L3"
Μήλα Φούτζι Ελληνικά,Fruit and fruit products,Pome fruits,Apple (Malus domesticus),"Apple, pulp and peel, raw",A,https://kritis.gr/product/mila-fuji-ellinika/,fresh Fuji apples; cultivar not differentiated by the single apple L3
Πορτοκάλια Κρήτης,Fruit and fruit products,Citrus fruits,Oranges (Citrus sinensis),"Orange, pulp, raw",A,https://kritis.gr/product/portokalia-valentsia-kritis/,fresh Valencia oranges
Μήλα Γκράνσμιθ Ελληνικά,Fruit and fruit products,Pome fruits,Apple (Malus domesticus),"Apple, pulp and peel, raw",A,https://kritis.gr/product/mila-gkransmith-ellinika/,fresh Granny Smith (green) apples; cultivar not differentiated by the single apple L3
Μπανάνες Κρήτης,Fruit and fruit products,Miscellaneous fruits,Bananas (Musa × paradisica),"Banana, pulp, raw",A,https://kritis.gr/product/bananes-kritis/,fresh bananas
Πορτοκάλια Χυμού Κρήτης,Fruit and fruit products,Citrus fruits,Oranges (Citrus sinensis),"Orange, pulp, raw",A,https://kritis.gr/product/portokalia-chymou-kritis/,fresh juicing oranges (whole fruit); juice-vs-table use not a taxonomy distinction
Καρπούζι Μίνι Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Watermelons (Citrullus lanatus),"Watermelon, pulp, raw",A,https://kritis.gr/product/karpouzi-mini-kritis/,"fresh mini watermelon; SAFAD classifies watermelon (a cucurbit) under vegetables, not fruit"
Πεπόνι Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Melons (Cucumis melo),"Melon, honeydew, pulp, raw",B,https://kritis.gr/product/peponia-kritis/,fresh melon; SAFAD classifies melon (a cucurbit) under vegetables; variety unspecified — mapped to honeydew (other L3 archetype is cantaloupe/Charentais)
Ροδάκινα Ελληνικά,Fruit and fruit products,Stone fruits,Peaches (Prunus persica),"Peach, pulp and peel, raw",A,https://kritis.gr/product/rodakina-ellinika/,fresh peaches
Νεκταρίνια Ελληνικά,Fruit and fruit products,Stone fruits,Peaches (Prunus persica),"Nectarine, pulp and peel, raw",A,https://kritis.gr/product/nektarinia-ellinika/,fresh nectarines; SAFAD nests nectarine under the peach L3 (Prunus persica)
