id,lang,term,canonical_en,description,category_hint
95482101-48c0-5d9f-b48f-f76cc8fad2ad,el,Ακτινίδιο,kiwi,kiwifruit,Fruit and fruit products → Miscellaneous fruits → Kiwi (Actinidia deliciosa syn. A. chinensis)
b0964ec5-5340-53fc-84ab-1a6e3ff9ca9b,el,Βερύκοκο,apricot,apricot,Fruit and fruit products → Stone fruits → Apricots (Prunus armeniaca)
89b4c3a3-35fb-5126-8c86-c31a012d1636,el,Καρπούζι,watermelon,watermelon; a cucurbit — SAFAD files it under fruiting vegetables,Vegetables and vegetable products (including fungi) → Fruiting vegetables → Watermelons (Citrullus lanatus)
ddd23e14-8726-5cce-87f2-4fbb85a806b1,el,Κεράσι,cherry,sweet cherry,Fruit and fruit products → Stone fruits → Sweet cherry (Prunus avium)
6e9647a6-8b38-5b74-985d-cdc3022ae7ba,el,Μήλο,apple,apple,Fruit and fruit products → Pome fruits → Apple (Malus domesticus)
76296cbd-d49a-5b80-a9af-fa632b2c28a8,el,Πορτοκάλι,orange,orange,Fruit and fruit products → Citrus fruits → Oranges (Citrus sinensis)
1722866b-9cce-592d-afe1-376ae498c2c7,el,Μπανάνα,banana,banana,Fruit and fruit products → Miscellaneous fruits → Bananas (Musa × paradisica)
a404d7e3-937a-5584-b22b-3afd3bd4b717,el,Πεπόνι,melon,melon; a cucurbit — SAFAD files it under fruiting vegetables,Vegetables and vegetable products (including fungi) → Fruiting vegetables → Melons (Cucumis melo)
e7de6d67-e4f2-5b67-b387-dbede6bf423d,el,Ροδάκινο,peach,peach,Fruit and fruit products → Stone fruits → Peaches (Prunus persica)
8e62cabd-8617-520e-b1af-63cf7f92cd62,el,Νεκταρίνι,nectarine,"nectarine, a smooth-skinned peach (Prunus persica)",Fruit and fruit products → Stone fruits → Peaches (Prunus persica)
