Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Αγγινάρες Ημιάγριες Κρήτης,Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Globe artichokes (Cynara scolymus),"Artichoke, globe, raw",A,https://kritis.gr/product/anginares-imiagries-kritis/,fresh semi-wild artichokes; variety not differentiated by the globe-artichoke L3
Ατζούρια Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Cucumbers (Cucumis sativus),"Cucumber, pulp and peel, raw",B,https://kritis.gr/product/atzouria-kritis/,"Cretan 'atzouri' (Cucumis melo var. flexuosus, snake melon) sold and eaten as a cucumber; botanically a melon but mapped to cucumber by culinary use"
Βλήτα Ελληνικά,Vegetables and vegetable products (including fungi),Leaf vegetables,,,,https://kritis.gr/product/vlita-kritis-2/,"amaranth greens (vlita, Amaranthus); WP3's only amaranth is the grain (under Grains) — no leafy-amaranth archetype"
Γεύσεις Γιαγιάς Αμπελόφυλλα Κρήτης 200 gr,Vegetables and vegetable products (including fungi),Leaf vegetables,,,,https://kritis.gr/product/gefseis-giagias-abelofylla-kritis-400-gr/,brined vine/grape leaves (for dolmades); no vine-leaf archetype in WP3
Δυόσμος Συσκευασμένο Κρήτης 25 gr,"Herbs, spices and condiments",Herbs,Mint,"Mint, fresh",A,https://kritis.gr/product/dyosmos-sysk-no-35-gr-kritis/,fresh spearmint (dyosmos)
Καρότα Ελληνικά Σακούλα Χύμα,Vegetables and vegetable products (including fungi),Root vegetables,Carrots (Daucus carota),"Carrot, raw",A,https://kritis.gr/product/karota-ellinika-sakoula-chyma/,loose fresh carrots
Κολοκυθοανθοί Κρήτης 15 Τεμάχια,Vegetables and vegetable products (including fungi),Fruiting vegetables,Courgettes (Zucchini) (Cucurbita pepo var. melopepo),"Courgette or zucchini, pulp and peel, raw",C,https://kritis.gr/product/kolokythoanthoi-kritis-15tem/,"courgette blossoms (same plant, Cucurbita pepo); no flower archetype, mapped to zucchini"
Κρεμμύδι Φρέσκο,"Herbs, spices and condiments",Herbs,"Chives, herb (Allium schoenoprasum)","Chive or spring onion, fresh",B,https://kritis.gr/product/kremmydi-fresko/,fresh spring/salad onion; WP3 groups spring onion with chives
Κρεμμύδια Ξερά Τυπ/να Ελληνικά,Vegetables and vegetable products (including fungi),Bulb vegetables,"Onions, bulb (Allium cepa)","Onion, raw",A,https://kritis.gr/product/kremmydia-xera-typ-na-ellinika/,packed dry bulb onions
Μανιτάρια Τυποποιημένα Ελληνικά 400 gr,Vegetables and vegetable products (including fungi),,,,,https://kritis.gr/product/manitaria-typopoiimena-ellinika-400-gr/,"packed cultivated white/button mushrooms (Agaricus); WP3 has no cultivated-mushroom archetype (only wild Morel under 'Fungi, wild, edible')"
