Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Αγροκτήματα Κρήτης Κοτόπουλο Νωπό Μισό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, eviscerated without offal, raw",B,https://kritis.gr/product/agroktimata-kritis-aroma-kritis-kotopoulo-miso/,
Βόειο Ελιά Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, round, raw",B,https://kritis.gr/product/voeio-elia-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Μπριζόλα Μ/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, rib steak, raw",B,https://kritis.gr/product/voeio-brizola-m-o-e-e-ellinikes-ektrofis-5-minon/,
Βόειο Νουά Σπάλας Α/Ο Ε.Ε. Ελληνικής Εκτροφής,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, shoulder, raw",B,https://kritis.gr/product/voeio-noua-spalas-a-o-e-e-ellinikis-ektrofis/,
Βόειο Σνίτσελ Πανέ Με Κρητικά Βότανα,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, topside, raw",C,https://kritis.gr/product/voeio-snitsel-pane-me-kritika-votana/,
Βόειο Στήθος Μ/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, thin flank, raw",C,https://kritis.gr/product/voeio-stithos-m-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Φιλέτο Τεμαχισμένο Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, sirloin steak, raw",C,https://kritis.gr/product/voeio-fileto-temachismeno-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Χτένι Σπάλας Α/Ο Ε.Ε. Ελληνικής Εκτροφής,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, bolar-blade, raw",B,https://kritis.gr/product/voeio-chteni-spalas-a-o-e-e-ellinikis-ektrofis/,
Γαλοπούλα 70% Ν Κρήτης,Meat and meat products (including edible offal),Poultry,Turkey meat (Meleagris gallopavo),"Turkey, meat and skin, raw",B,https://kritis.gr/product/galopoula-70-n-kritis/,
Κοτομπουκιές Προψημένες Με Corn Flakes,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, breast, without skin, raw",C,https://kritis.gr/product/kotoboukies-propsimenes-me-corn-flakes/,
Κοτομπουκιές Προψημένες Πανέ,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, breast, without skin, raw",C,https://kritis.gr/product/kotoboukies-propsimenes-pane/,
