Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Συλλιγάρδος Φρέσκο Γάλα Κατσικίσιο 1 lt,Milk and dairy products,Liquid milk,Goat milk,"Goat milk, whole, raw",B,https://kritis.gr/product/gala-paster-katsik-1lt-sylligard/,
Συλλιγάρδος Φρέσκο Γάλα Πρόβειο Ελαφρύ 1 lt,Milk and dairy products,Liquid milk,Sheep milk,"Sheep milk, whole",C,https://kritis.gr/product/gala-past-prov-elaf-1-5-1lt-syl/,
Συλλιγάρδος Φρέσκο Γάλα Πρόβειο Πλήρες 1 lt,Milk and dairy products,Liquid milk,Sheep milk,"Sheep milk, whole",A,https://kritis.gr/product/gala-paster-proveio-1lt-sylligar/,
Φάρμα Κουκάκη Choco Full Σοκολατούχο Γάλα 500 ml,Milk and dairy products,Milk based beverages,Flavoured milk,"Chocolate flavoured milk, with sugar, partially skimmed, fortified with vitamins and chemicals elements",B,https://kritis.gr/product/farma-koukaki-choco-full-sokolatoucho-gala-500-ml/,
Φάρμα Κουκάκη Γάλα Ελαφρύ Διπλοφιλτραρισμένο 1.5% 1.5 lt,Milk and dairy products,Liquid milk,Cow milk,"Milk, semi-skimmed, pasteurised",A,https://kritis.gr/product/farma-koukaki-gala-elafry-diplofiltrarismeno-1-5-1-5-lt-2/,
Φάρμα Κουκάκη Γάλα Πλήρες Διπλοφιλτραρισμένο 3.9% 1.5 lt,Milk and dairy products,Liquid milk,Cow milk,"Milk, whole, pasteurised",A,https://kritis.gr/product/farma-koukaki-gala-elafry-diplofiltrarismeno-1-5-1-5-lt/,
Φάρμα Κουκάκη Κεφίρ 330 ml,Milk and dairy products,Fermented milk products,Kefir,"Fermented milk drink, plain, whole milk",A,https://kritis.gr/product/farma-koukaki-kefir-330-ml/,
"Φάρμα Κουκάκη Κεφίρ Μάνγκο, Passion Fruit & Τζίντζερ 330 ml",Milk and dairy products,Fermented milk products,Kefir,"Fermented milk drink, plain, whole milk",C,https://kritis.gr/product/farma-koukaki-kefir-mangko-passion-fruit-tzintzer-330-ml/,
Φάρμα Κουκάκη Κεφίρ Με Μπανάνα Βρώμη & Μέλι Χωρίς Γλουτένη 330 ml,Milk and dairy products,Fermented milk products,Kefir,"Fermented milk drink, plain, whole milk",C,https://kritis.gr/product/farma-koukaki-kefir-me-banana-vromi-meli-330-ml/,
Φάρμα Κουκάκη Ξυνόγαλο Αριάνι 500 ml,Milk and dairy products,Fermented milk products,Kefir,"Fermented milk drink, plain, skimmed milk",C,https://kritis.gr/product/xynogalo-ariani-koukaki-pl-f-500/,"ayran/xinogalo; no buttermilk archetype fits, mapped to plain fermented-milk drink"
Φάρμα Κουκάκη Φρέσκο Γάλα 1.5% 1 lt,Milk and dairy products,Liquid milk,Cow milk,"Milk, semi-skimmed, pasteurised",A,https://kritis.gr/product/gala-koukaki-fr-el-1-5-pl-f-1lt/,
Φάρμα Κουκάκη Φρέσκο Γάλα 3.7%-4.1% 1 lt,Milk and dairy products,Liquid milk,Cow milk,"Milk, whole, pasteurised",A,https://kritis.gr/product/gala-koukaki-fr-pl-3-7-pl-f-1lt/,
Ζώμινθος Κατσικίσιο Παραδοσιακό Γιαούρτι 200 gr,Milk and dairy products,Fermented milk products,"Yoghurt, goat milk","Yogurt, goat's milk, plain, around 5% fat",A,https://kritis.gr/product/zominthos-katsikisio-paradosiako-giaourti-200-gr/,
Ζώμινθος Πρόβειο Παραδοσιακό Γιαούρτι 2% 200 gr,Milk and dairy products,Fermented milk products,"Yoghurt, sheep milk","Yogurt, Greek-style, ewe's milk",B,https://kritis.gr/product/giaourti-zominthos-prov-2-200gr/,
Ζώμινθος Πρόβειο Παραδοσιακό Γιαούρτι 200 gr,Milk and dairy products,Fermented milk products,"Yoghurt, sheep milk","Yogurt, Greek-style, ewe's milk",A,https://kritis.gr/product/giaourti-zominthos-200gr-kypelo/,
Μπαχρής Γιαούρτι Πρόβειο 6% Βιολογικό 200 gr,Milk and dairy products,Fermented milk products,"Yoghurt, sheep milk","Yogurt, Greek-style, ewe's milk",A,https://kritis.gr/product/giaourti-bachris-pr-viol-pl-200g/,
