Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Τα Μερακλίδικα Μυζηθροπιτάκια Ξινά 500 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,B,https://kritis.gr/product/ta-meraklidika-myzithropitakia-xina-500-gr/,
Χιωτάκης Καλιτσούνια Με Πηχτόγαλο Χανίων Για Τηγάνι 17-18 Τεμάχια 500 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,B,https://kritis.gr/product/chiotaki-kalitsounia-me-pichtogalo-chanion-gia-tigani/,
Χιωτάκης Μαραθόπιτες 4 Τεμάχια 560 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,Vegetables tart,B,https://kritis.gr/product/chiotakis-marathopites-4-temachia-560-gr/,
Χιωτάκης Μυζηθροπιτάκια Γλυκά 22-23 Τεμάχια 500 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,C,https://kritis.gr/product/chiotakis-myzithropitakia-glyka-500-gr/,"sweet cheese pie (γλυκά); no sweet-cheese-pastry archetype, mapped to cheese tart"
Χιωτάκης Φύλλο Σφολιάτας 2 Τεμάχια 800 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,"Puff pastry, frozen, raw",A,https://kritis.gr/product/chiotaki-sfoliata-800-gr/,
Regina Μυζηθροπιτάκια Γλυκά Τηγανιού 1 kg,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,C,https://kritis.gr/product/regina-myzithropitakia-glyka-tiganiou-1-kg/,"sweet cheese pie (γλυκά); no sweet-cheese-pastry archetype, mapped to cheese tart"
Regina Ξινά Τυροπιτάκια Τηγανιού 1 kg,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,B,https://kritis.gr/product/regina-xina-tyropitakia-tiganiou-1-kg/,
Regina Μυζηθρόπιτες 5 x 100 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,B,https://kritis.gr/product/regina-myzithropites-5-temachia/,
Regina Χορτοπιτάκια Τηγανιού 1 kg,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,Vegetables tart,B,https://kritis.gr/product/regina-chortopitakia-tiganiou-1-kg/,
Χιωτάκης Τυρόπιτα Στριφτή Με Κρητικό Κατσικίσιο Τυρί 800 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,B,https://kritis.gr/product/chiotakis-tyropita-strifti-800-gr/,
Χιωτάκης Σπανακοτυρόπιτα Στριφτή 800 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Goat cheese and spinach tart,B,https://kritis.gr/product/chiotakis-spanakotyropita-strifti-800-gr/,
Χιωτάκης Κοτόπιτα Παραδοσιακή 920 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,"Pastilla, filled with chicken (pie)",B,https://kritis.gr/product/chiotakis-kotopita-paradosiaki-920-gr/,
Χιωτάκης Μαραθοπιτάκια 11-12 Τεμάχια 400 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,Vegetables tart,B,https://kritis.gr/product/chiotakis-marathopitakia-400-gr/,
Χιωτάκης Μπουγάτσα Με Κρέμα 650 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Flan tart with eggs,C,https://kritis.gr/product/chiotakis-bougatsa-me-krema-thessalonikis-650-gr/,custard phyllo pie (μπουγάτσα με κρέμα); no bougatsa/galaktoboureko archetype
Χιωτάκης Σφακιανοπιτάκια 12 Τεμάχια 400 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,C,https://kritis.gr/product/chiotakis-sfakianopitakia-400-gr/,"Cretan Sfakian cheese pie (thin, pan-fried, honey-served)"
Χιωτάκης Πίτες Σφακιανές 4 Τεμάχια 500 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,C,https://kritis.gr/product/chiotakis-pites-sfakianes-4-temachia-500-gr/,"Cretan Sfakian cheese pie (thin, pan-fried, honey-served)"
Τα Μερακλίδικα Χορτοπιτάκια Τηγανιού Vegan 500 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,Vegetables tart,C,https://kritis.gr/product/ta-meraklidika-chortopitakia-tiganiou-500-gr/,"vegan (χορτόπιτα); vegetable-tart archetype likely includes egg/dairy, may overstate impact"
Τα Μερακλίδικα Κρητικές Παραδοσιακές Χορτόπιτες Vegan 3 Τεμαχίων 390 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,Vegetables tart,C,https://kritis.gr/product/ta-meraklidika-paradosiaki-chortopita-kritiki-390-gr/,"vegan (χορτόπιτα); vegetable-tart archetype likely includes egg/dairy, may overstate impact"
Τα Μερακλίδικα Μυζηθροπιτάκια Γλυκά 500 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,C,https://kritis.gr/product/ta-meraklidika-myzithropitakia-glyka-500-gr/,"sweet cheese pie (γλυκά); no sweet-cheese-pastry archetype, mapped to cheese tart"
Τα Μερακλίδικα Σφακιανές Πίτες 3 Τεμάχια 390 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,Cheese tart,C,https://kritis.gr/product/ta-meraklidika-sfakianes-pites-3-temachia-390-gr/,"Cretan Sfakian cheese pie (thin, pan-fried, honey-served)"
Τα Μερακλίδικα Σπιτική Μπουγάτσα 600 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,"Puff pastry, frozen, raw",B,https://kritis.gr/product/ta-meraklidika-spitiki-bougatsa-600-gr/,plain bougatsa pastry (dough only); laminated fat dough matched to puff pastry
Χαλκιαδάκης Πίτσα Special 3 x 430 gr,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies,"Pizza, ham and cheese",B,https://kritis.gr/product/chalkiadakis-pitsa-special-3-tem-x-430-gr/,
Ζύμη Ψαχνών Φρέσκο Φύλλο Χωριάτικο 500 gr,Grains and grain-based products,Fine bakery wares,Pastries and cakes,"Phyllo or filo dough, raw",A,https://kritis.gr/product/fyllo-fr-choriat-krit-zymes-500gr/,
