id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
aea48990-28c6-5f3d-81ec-f0a85bfd6480,el,Μυζηθρόπιτα,mizithra cheese pie,mizithra (whey-cheese) pie,Grains and grain-based products,Fine bakery wares,Pastries and cakes
17cc4a46-cc3b-5354-89e7-1c8857a7fde6,el,Καλιτσούνια,kalitsounia,"kalitsounia, small Cretan cheese- or herb-filled pastries",Grains and grain-based products,Fine bakery wares,Pastries and cakes
451b02f1-bc62-5829-ae0d-6a93464a1e71,el,Μαραθόπιτα,fennel pie,"marathopita, Cretan pie filled with wild fennel and greens",Composite food (including frozen products),Cereal-based dishes,
fc415733-9b4e-582e-9a4e-0df2b3d3387a,el,Σφολιάτα,puff pastry,puff pastry sheets,Grains and grain-based products,Fine bakery wares,
a5ceada2-74dd-5488-80c7-7432edb0f3a9,el,Τυρόπιτα,cheese pie,"tyropita, Greek phyllo cheese pie",Grains and grain-based products,Fine bakery wares,Pastries and cakes
6e16f2ea-a3e3-51ad-900e-f0d4cb57f944,el,Χορτόπιτα,greens pie,"hortopita, pie filled with wild greens",Composite food (including frozen products),Cereal-based dishes,
2b42610a-c291-55a2-b479-aa7eea6617c8,el,Σπανακοτυρόπιτα,spinach-cheese pie,"spanakotyropita, spinach and cheese phyllo pie",Grains and grain-based products,Fine bakery wares,Pastries and cakes
65c9145a-8aee-54fb-932f-784abf3804e5,el,Κοτόπιτα,chicken pie,"kotopita, phyllo pie filled with chicken",Composite food (including frozen products),Cereal-based dishes,
d4e3ed27-c26f-53ec-8a04-0e6fe84939ac,el,Μπουγάτσα,bougatsa,"bougatsa, phyllo pastry with sweet semolina custard or cheese",Grains and grain-based products,Fine bakery wares,
cb347f8d-847a-5dfe-9b11-858ab1ad842b,el,Σφακιανή πίτα,sfakianopita,"sfakianopita, thin Cretan cheese-filled pan pie served with honey",Grains and grain-based products,Fine bakery wares,Pastries and cakes
e9a8cc08-447f-5ff9-9284-d877b44bd861,el,Φύλλο,phyllo (filo),phyllo (filo) pastry sheets,Grains and grain-based products,Fine bakery wares,
65b800aa-2751-54b2-8673-bedcd3a37ea0,el,Μυζηθροπιτάκια,mizithra cheese pies,"mizithropitakia, small mizithra (whey-cheese) pies",Grains and grain-based products,Fine bakery wares,Pastries and cakes
c01487e3-585f-5da4-b361-9d298992826f,el,Τυροπιτάκια,cheese pies,"tyropitakia, small phyllo cheese pies",Grains and grain-based products,Fine bakery wares,Pastries and cakes
02d08be2-ee49-5e34-828e-de2d0c7fa23d,el,Σφακιανοπιτάκια,sfakianopitakia,"sfakianopitakia, small Cretan cheese-filled pan pies served with honey",Grains and grain-based products,Fine bakery wares,Pastries and cakes
