Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Alafis Ψωμί Σε Φέτες Ταμπανωτό Λευκό Προζύμι 600 gr,Grains and grain-based products,Bread and rolls,Wheat bread and rolls,Sandwich loaf,A,https://kritis.gr/product/psomi-fetes-tabanoto-lefko-prozymi-600gr/,
Alafis Ψωμί Σε Φέτες Ταμπανωτό Οκτάσπορο Προζύμι 600 gr,Grains and grain-based products,Bread and rolls,Multigrain bread and rolls,"Sandwich loaf, multigrain",A,https://kritis.gr/product/psomi-fetes-tabanoto-oktasporo-prozymi-600gr/,
Alafis Ψωμί Σε Φέτες Ταμπανωτό Ολικής Προζύμι 600 gr,Grains and grain-based products,Bread and rolls,Wheat bread and rolls,"Sandwich loaf, wholemeal",A,https://kritis.gr/product/psomi-fetes-tabanoto-olikis-prozymi-600gr/,
Alafis Ψωμί Σε Φέτες Πετρόμυλος Ολικής Άλεσης Με Προζύμι & Λιγότερο Αλάτι 500 gr,Grains and grain-based products,Bread and rolls,Wheat bread and rolls,"Sandwich loaf, wholemeal",B,https://kritis.gr/product/psomi-fetes-pertomylos-afth-500gr-50lig-al/,"stone-milled, reduced salt; not captured"
Grand’s Cookies Κρίκοι Με Σουσάμι 290 gr,Grains and grain-based products,Bread and rolls,Other bread,Grissini or bread stick,B,https://kritis.gr/product/grands-cookies-kritsinia-krikos-sousami-290-gr/,sesame rings
Αρτοποιία Τσατσάκης Κριτσίνια Ευ Ζην Πολύσπορα 30% Λιγότερο Αλάτι & Ζάχαρη Vegan 200 gr,Grains and grain-based products,Bread and rolls,Other bread,Grissini or bread stick,B,https://kritis.gr/product/artopoiia-tsatsakis-kritsinia-ef-zin-polyspora-30-ligotero-alati-zachari-vegan-200-gr/,"multigrain, reduced salt/sugar"
Αρτοποιία Τσατσάκης Κριτσίνια Με Ελληνική Γραβιέρα 180 gr,Grains and grain-based products,Bread and rolls,Other bread,Grissini or bread stick,C,https://kritis.gr/product/artopoiia-tsatsakis-kritsinia-me-elliniki-graviera-180-gr/,with graviera cheese; not captured
Αρτοποιία Τσατσάκης Κριτσίνια Με Καλαμπόκι Vegan 250 gr,Grains and grain-based products,Bread and rolls,Other bread,Grissini or bread stick,C,https://kritis.gr/product/artopoiia-tsatsakis-kritsinia-me-kalaboki-vegan-250-gr/,corn flour; not captured
Αρτώ Κριτσίνια Με Ηλιόσπορο 270 gr,Grains and grain-based products,Bread and rolls,Other bread,Grissini or bread stick,B,https://kritis.gr/product/arto-kritsinia-me-iliosporo-270-gr/,with sunflower seed
Κρητών Άρτος Μικιό Κριτσινάκι Τυριού 80 gr,Grains and grain-based products,Bread and rolls,Other bread,Grissini or bread stick,C,https://kritis.gr/product/kriton-artos-mikio-kritsinaki-tyriou-80-gr/,cheese breadstick; not captured
