Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Γεύσεις Γιαγιάς Πετιμέζι 250 ml,Sugar and confectionary,Molasses and other syrups,,,,https://kritis.gr/product/petimezi-kritgefs-giagiasgf250/,grape must syrup (petimezi); no grape/fruit-syrup archetype in WP3 (L2 holds only agave/maple/cane/beet)
Cretan Nectar Πετιμέζι 250 ml,Sugar and confectionary,Molasses and other syrups,,,,https://kritis.gr/product/cretan-nectar-petimezi-250-ml/,grape must syrup (petimezi); no grape/fruit-syrup archetype in WP3 (L2 holds only agave/maple/cane/beet)
Cretan Nectar Πετιμέζι Λευκό 250 ml,Sugar and confectionary,Molasses and other syrups,,,,https://kritis.gr/product/cretan-nectar-petimezi-lefko-250-ml/,white grape must syrup (petimezi lefko); no grape/fruit-syrup archetype in WP3
Κτήματα Αγριμανάκης Πετιμέζι Σουλτανίνα Βιολογικό 250 ml,Sugar and confectionary,Molasses and other syrups,,,,https://kritis.gr/product/petimezi-apo-soultanina-vio-250m/,"sultana grape must syrup (petimezi), organic; no grape/fruit-syrup archetype in WP3"
Creta Carob Χαρουπόμελο Χωρίς Γλουτένη 350 gr,Sugar and confectionary,Molasses and other syrups,,,,https://kritis.gr/product/charoupomelo-350gr/,carob-pod syrup (charoupomelo); no carob archetype anywhere in WP3
El Greco Μέλι Από Θυμάρι & Πεύκο 450 gr,Sugar and confectionary,Honey,Honey,Honey,A,https://kritis.gr/product/el-greco-meli-apo-thymari-pefko-450-gr/,"thyme, pine honey; honeydew type — blossom vs honeydew (pine/conifer/forest) honey not differentiated in WP3"
El Greco Μέλι Από Θυμάρι & Πεύκο 900 gr,Sugar and confectionary,Honey,Honey,Honey,A,https://kritis.gr/product/el-greco-meli-apo-thymari-pefko-900-gr/,"thyme, pine honey; honeydew type — blossom vs honeydew (pine/conifer/forest) honey not differentiated in WP3"
Koutantos Family Μέλι Από Άγρια Βότανα & Κωνοφόρα Δέντρα 700 gr,Sugar and confectionary,Honey,Honey,Honey,A,https://kritis.gr/product/koutantos-family-meli-apo-agria-votana-konofora-dentra-700-gr/,"conifer, wild herbs honey; honeydew type — blossom vs honeydew (pine/conifer/forest) honey not differentiated in WP3"
Koutantos Family Μέλι Από Θυμάρι & Βότανα 400 gr,Sugar and confectionary,Honey,Honey,Honey,A,https://kritis.gr/product/koutantos-meli-apo-thymari-votana-400-gr/,"thyme, wild herbs honey"
Koutantos Family Μέλι Από Θυμάρι & Βότανα 700 gr,Sugar and confectionary,Honey,Honey,Honey,A,https://kritis.gr/product/koutantos-meli-apo-thymari-votana-700-gr/,"thyme, wild herbs honey"
