id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
48cde306-8791-50c8-9389-2d6572afe3fd,el,Χυλοπίτες,chylopites (egg noodles),"chylopites, Cretan egg-and-milk ribbon noodles",Grains and grain-based products,Pasta (Raw),
1de1e921-413d-5de6-828a-2e813f20d73d,el,Κριθαράκι,kritharaki (orzo),"kritharaki (orzo), rice-grain-shaped pasta",Grains and grain-based products,Pasta (Raw),
d0f9c286-72fe-50d5-bc71-325ba24dfdbd,el,Σκιουφικτό,skioufichto,"skioufichto, hand-twisted Cretan pasta",Grains and grain-based products,Pasta (Raw),
371ff687-8871-56ef-a7ab-e8e6a1874522,el,Βίδες,fusilli,"vides, short spiral (fusilli) pasta",Grains and grain-based products,Pasta (Raw),
19826418-fdf7-5e6b-97a8-6b12913b5fb4,el,Μακαρόνια,macaroni,"makaronia, macaroni / long dried pasta",Grains and grain-based products,Pasta (Raw),
7efe92ea-229b-5e7e-b909-604571dbfe0f,el,Σπαγγετίνη,spaghettini,"spaghettini, thin spaghetti",Grains and grain-based products,Pasta (Raw),
cfa82b8a-859d-5419-85b0-e53f0c745d80,el,Καλογερικό,kalogeriko,"kalogeriko, large Cretan tube pasta",Grains and grain-based products,Pasta (Raw),
b1ccc967-c873-50cc-9f49-f55bb7e120b7,el,Χόντρος,chondros,"chondros, coarsely cracked durum wheat (like bulgur)",Grains and grain-based products,Grains for human consumption,
d7a88446-f7ae-5a30-b3fa-f1d1fb853c15,el,Ξινόχοντρος,xinochondros,"xinochondros, cracked wheat fermented with soured sheep's milk",Grains and grain-based products,Grains for human consumption,
9aba83f4-eb33-5015-8d42-679c01a30ce1,el,Τραχανάς,trahana,"trahana, fermented cracked-wheat-and-milk granules for soup (sour or sweet)",Grains and grain-based products,Grains for human consumption,
