id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
c7dbb534-5d44-5870-a80d-33740896cbb6,el,Αγγινάρα,artichoke,globe artichoke,Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Globe artichokes (Cynara scolymus)
661a2632-45e4-554e-9c4e-2a40245aa3f4,el,Ατζούρι,atzouri (snake melon),"Cretan snake melon (Cucumis melo var. flexuosus), eaten like a cucumber",Vegetables and vegetable products (including fungi),Fruiting vegetables,
19911880-2a49-54c7-ace2-1abeb3bce8ad,el,Βλήτα,amaranth greens,"amaranth greens (Amaranthus), a summer horta eaten boiled",Vegetables and vegetable products (including fungi),Leaf vegetables,
60c2eb21-7ba5-5a5a-b0e2-941b411d7fd8,el,Αμπελόφυλλα,vine leaves,"grape/vine leaves, used to wrap dolmades",Vegetables and vegetable products (including fungi),Leaf vegetables,
61175ed8-827d-50db-af37-29383ce13a3e,el,Δυόσμος,spearmint,"spearmint (Mentha spicata), a culinary herb","Herbs, spices and condiments",Herbs,Mint
2e020bef-b9de-5a07-8467-39d476545b82,el,Καρότο,carrot,carrot,Vegetables and vegetable products (including fungi),Root vegetables,Carrots (Daucus carota)
d5ccdd4b-2c9c-56a9-b176-75b6d0f968cf,el,Κολοκυθοανθός,courgette blossom,"courgette/zucchini flower (Cucurbita pepo), stuffed or fried",Vegetables and vegetable products (including fungi),Fruiting vegetables,
9ec29582-bbd0-5ea3-9266-94c5a9fc25d2,el,Κρεμμύδι φρέσκο,spring onion,fresh spring/salad onion; SAFAD groups it with chives,"Herbs, spices and condiments",Herbs,
18fffee2-c78e-54db-b9f2-c834e4fcb77b,el,Κρεμμύδι,onion,dry bulb onion,Vegetables and vegetable products (including fungi),Bulb vegetables,"Onions, bulb (Allium cepa)"
a3422bf1-c329-5ceb-82e4-d2971feafca0,el,Μανιτάρι,mushroom,cultivated white/button mushroom (Agaricus); no cultivated-mushroom archetype in WP3,Vegetables and vegetable products (including fungi),,
36ba1c27-79b8-506e-b3e5-bb61ad1cd13f,el,Πλευρώτος,oyster mushroom,oyster mushroom (Pleurotus ostreatus); no cultivated-mushroom archetype in WP3,Vegetables and vegetable products (including fungi),,
df9bd4cf-8a14-56c0-bb22-918a5d49165b,el,Μαρούλι,lettuce,lettuce; Greek marouli is a cos/romaine type,Vegetables and vegetable products (including fungi),Leaf vegetables,"Lettuce, excluding Iceberg-type lettuce (Lactuca sativa)"
90f3b008-27a1-577e-b173-1fcf0295f376,el,Ξυλάγγουρο,xylangouro (Armenian cucumber),"Cretan Armenian cucumber/snake melon (Cucumis melo var. flexuosus), eaten like a cucumber",Vegetables and vegetable products (including fungi),Fruiting vegetables,
fe262f30-427f-56fb-832d-426b163af6b5,el,Πατάτα,potato,potato; SAFAD files it under starchy roots and tubers,Starchy roots and tubers,Potatoes and potatoes products,
0efce2e6-473b-5b86-ba84-69a1f80157af,el,Πράσο,leek,leek,Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Leek (Allium porrum)
a31e6926-7a77-54be-aec4-559f2e3f9071,el,Ρόκα,rocket,rocket / arugula,Vegetables and vegetable products (including fungi),Leaf vegetables,"Rocket, Rucola (Eruca sativa, Diplotaxis spec.)"
df12b1e2-75a0-5db1-a9ee-f5f2ddf3fac1,el,Σαλιγκάρι,snail,"edible land snail (Helix); an animal, not a vegetable","Fish and other seafood (including amphibians, reptiles, snails and insects)","Amphibians, reptiles, snails, insects",Snail (Helix sp.)
1386f1ad-e42e-5002-9537-9d65b46c2fd1,el,Σπανάκι,spinach,spinach,Vegetables and vegetable products (including fungi),Leaf vegetables,Spinach (fresh) (Spinacia oleracea)
d0c0f35f-6115-5633-84d1-ac9f1fa0467f,el,Τομάτα,tomato,tomato,Vegetables and vegetable products (including fungi),Fruiting vegetables,Tomatoes (Lycopersicum esculentum)
36b6a566-a5e4-5f76-bfb6-674f366c21d1,el,Τσαούλια,flat green beans,Cretan flat-pod fresh green beans (Phaseolus vulgaris),"Legumes, nuts and oilseeds","Legumes, beans, green, without pods","Beans, green, without pods (Phaseolus vulgaris)"
534254f5-a21e-5626-82dc-d28e7919899f,el,Φασόλια μπαρμπούνια,borlotti beans,fresh borlotti/cranberry shelling beans (Phaseolus vulgaris),"Legumes, nuts and oilseeds","Legumes, beans, green, without pods","Beans, green, without pods (Phaseolus vulgaris)"
85f25393-1425-5fac-9b40-788742876f64,el,Αλμυρά,glasswort,"glasswort/salicornia (armyra), a coastal halophyte eaten as 'salty greens'",Vegetables and vegetable products (including fungi),Sea weeds,
6fb1a84c-b09e-5dba-89a0-01baef665f86,el,Τοματίνι,cherry tomato,cherry/cocktail tomato,Vegetables and vegetable products (including fungi),Fruiting vegetables,Tomatoes (Lycopersicum esculentum)
8d6a73b7-c724-567d-8a27-b7c9ba3c81e6,el,Αγγούρι,cucumber,cucumber,Vegetables and vegetable products (including fungi),Fruiting vegetables,Cucumbers (Cucumis sativus)
4dd40d54-1ddc-559b-b36d-e14f2befafe3,el,Λάχανο,cabbage,white/head cabbage,Vegetables and vegetable products (including fungi),Brassica vegetables,Head cabbage (Brassica oleracea convar. capitata)
2c61ecc4-1383-5774-9cf8-efedae6344b8,el,Μελιτζάνα,aubergine,aubergine / eggplant,Vegetables and vegetable products (including fungi),Fruiting vegetables,Aubergines (egg plants) (Solanum melongena)
388622d0-ad89-51c8-8f5f-19a5d09e5ad9,el,Παντζάρι,beetroot,beetroot,Vegetables and vegetable products (including fungi),Root vegetables,Beetroot (Beta vulgaris subsp. vulgaris)
f1bc00bc-a25d-521b-81b7-8e6f7a1e5f6d,el,Πιπεριά,pepper,sweet pepper (bell / paprika),Vegetables and vegetable products (including fungi),Fruiting vegetables,"Peppers, paprika (Capsicum annuum, var. grossum and var. longum)"
e61d4b4e-cc36-561f-88b7-6f38cea60286,el,Καλαμπόκι,sweetcorn,"sweetcorn, fresh on the cob",Vegetables and vegetable products (including fungi),Fruiting vegetables,Sweet corn (Zea mays var. saccharata)
74f0230d-5b9a-5b1a-a480-7578c48e97f2,el,Σκόρδο,garlic,garlic,Vegetables and vegetable products (including fungi),Bulb vegetables,"Garlic, bulb (Allium sativum)"
76c9a4bf-67d1-536e-9b48-eafb9bfa7ead,el,Άνηθος,dill,"dill, a culinary herb","Herbs, spices and condiments",Herbs,"Dill, herb (Anethum graveolens)"
ad040d2f-1672-5aff-a746-7757948c187e,el,Μαϊντανός,parsley,"parsley, a culinary herb","Herbs, spices and condiments",Herbs,"Parsley, herb (Petroselinum crispum)"
c6cb3812-14e8-5a0b-be63-a0c111effb5a,el,Σέλινο,celery,Greek leaf/soup celery (Apium graveolens),Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Celery (Apium graveolens var. dulce)
