id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
e7606aab-69e3-5135-8e65-110af19e2183,et,Jogurt,yoghurt,"yoghurt, plain or with fruit",Milk and dairy products,Fermented milk products,
9dbb370e-da59-5c79-b11c-161206556d2c,et,Joogijogurt,drinking yoghurt,yoghurt thin enough to drink,Milk and dairy products,Milk based beverages,
27b956d3-b7aa-5e30-bc4d-7d1aa3223b0c,et,Kreeka,Greek,"Greek, as in kreeka jogurt, thick strained yoghurt",Milk and dairy products,Fermented milk products,
1c7c4f52-0327-5d23-b6f3-b0ff5ab2ecfb,et,Kohuke,glazed curd bar,"kohuke, a small sweetened curd bar, usually chocolate-glazed",Grains and grain-based products,Fine bakery wares,Pastries and cakes
37d79af1-ad5b-5dbd-aa6c-589425d0b6da,et,Kissell,kissel,"kissell, a fruit gel set with starch",,,
e6f8feb9-d768-5664-bb59-779ce5798a79,et,Puding,pudding,a milk or curd pudding,"Snacks, desserts, and other foods",Ices and desserts,
546514de-6f96-511e-be34-e06b62836951,et,Tarretis,jelly,a set gelatine dessert,"Snacks, desserts, and other foods",Ices and desserts,Gelatine dessert
8cabe532-9ecd-5212-98da-d92f8c3d5336,et,Magustoit,dessert,a sweet dessert,"Snacks, desserts, and other foods",Ices and desserts,
802d45c5-0934-5a0a-8536-ae3f58b3a451,et,Dessert,dessert,"a sweet dessert, the borrowed name",,,
448cb4b6-ac35-5bfd-8c18-2ccdcb15f138,et,Kreem,cream,"a smooth spreadable cream, of dairy or confectionery",,,
1d1f8ab3-0619-5e83-8c57-2a699a51969a,et,Jogurtijook,yoghurt drink,yoghurt thin enough to drink,Milk and dairy products,,
43ebda7b-b593-51ce-919e-a20f8f222f31,et,Jogurtikokteil,yoghurt shake,a shake made with yoghurt,Milk and dairy products,,
e161f185-fd55-5f85-9530-edc79b7c2cdf,et,Jogurtikreem,yoghurt cream,a thick sweetened yoghurt,Milk and dairy products,,
66b6e67b-8de2-57bc-84d2-c09136c50a0b,et,Koorejogurt,cream yoghurt,yoghurt made with added cream,Milk and dairy products,Fermented milk products,
05cad787-a74d-5ebc-b895-268e26bbea8c,et,Mahejogurt,organic yoghurt,organic yoghurt,Milk and dairy products,Fermented milk products,
6ae95d8b-2065-573a-9fc5-b4c3026cbfdd,et,Proteiinijogurt,protein yoghurt,yoghurt sold for its protein,Milk and dairy products,,
d8405b41-527d-57b4-90ce-d07606cd07a5,et,Skyr,skyr,"skyr, an Icelandic strained fresh cheese eaten as yoghurt",Milk and dairy products,Cheese,Fresh uncured cheese
31d4de4e-22d6-5df1-a84a-358792953f8a,et,Kohupiimadessert,quark dessert,a sweet dessert of fresh curd,,,
af4c9335-ba90-5136-b679-d58bab57e6f0,et,Proteiinipuding,protein pudding,a pudding sold for its protein,Milk and dairy products,Cheese,Fresh uncured cheese
b2bbe130-b103-5283-a9a5-771e000fd933,et,Valgupuding,protein pudding,a pudding sold for its protein,Milk and dairy products,Cheese,
15dc4387-ef50-5f93-951e-3550f8312e38,et,Riisipuder,rice porridge,rice cooked soft in milk,,,
f514956e-e805-5520-9249-f0f043597eed,et,Glasuurkohuke,glazed curd bar,a curd bar under a chocolate glaze,Grains and grain-based products,Fine bakery wares,Pastries and cakes
481d54ff-62fb-56c4-b678-8c5df8ac048b,et,Sidrunikohuke,lemon curd bar,a lemon-flavoured glazed curd bar,Grains and grain-based products,Fine bakery wares,Pastries and cakes
3ba1954e-d457-5bea-b770-45ca95a80b3d,et,Biskviitmaius,biscuit treat,"a biscuit-based sweet, usually chocolate-coated",Sugar and confectionary,Chocolate (Cocoa) products,
3039efff-d55b-54ca-85ca-00d13d4b05d4,et,Biskviitmaiustus,biscuit confection,a biscuit-based sweet,Sugar and confectionary,Chocolate (Cocoa) products,
f6822973-9e93-519b-98a8-371de76093eb,et,Keefirimaius,kefir treat,a sweet made from kefir,Milk and dairy products,,
c28286e3-91f7-57c2-ab4a-e5f729bb707c,et,Jogurtimaius,yoghurt treat,a sweet made from yoghurt,Milk and dairy products,,
e065043a-35c8-5382-b106-0665df079f5b,et,Mousse,mousse,a whipped aerated dessert,,,
