id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
f6eac11f-38a8-507f-994e-fca50d4b0d41,et,Vorst,sausage,a sausage,Meat and meat products (including edible offal),Sausages,
3fb051f4-42cb-5d8b-89b6-afed09e55259,et,Täissuitsuvorst,fully smoked sausage,"a sausage smoked through, keeping without refrigeration",Meat and meat products (including edible offal),Sausages,
2e2431d0-7ad8-5945-9451-25c24c0abf53,et,Suitsuvorst,smoked sausage,a smoked sausage,Meat and meat products (including edible offal),Sausages,
52c3a789-ff1a-503e-8403-c5bacfa6a02f,et,Keeduvorst,boiled sausage,"a boiled sausage, sliced cold",Meat and meat products (including edible offal),,
76834351-021d-52aa-998d-04b16d37b0fa,et,Toorvorstid,raw sausages,fresh sausages to be cooked before eating,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage
14d3caa2-d3d4-5766-8de8-70a4c442e9e4,et,Grillvorst,grilling sausage,a sausage for the grill,Meat and meat products (including edible offal),Sausages,
c3a88f0b-f295-5157-8613-6ccfe9f65350,et,Grillvorstid,grilling sausages,sausages for the grill,Meat and meat products (including edible offal),Sausages,
48b1e722-6a6c-5c0b-880f-6fc79e63c9fb,et,Juustuvorst,cheese sausage,a sausage with cheese worked into it,Meat and meat products (including edible offal),Sausages,
16c64535-aaee-5eaf-a76d-e53ce0d03772,et,Šašlõkivorst,shashlik sausage,a coarse sausage seasoned like shashlik,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage
70b8f0f5-2dce-55eb-b23f-0ea500b21f8a,et,Lastevorst,children's sausage,a mild fine-textured sausage sold for children,Meat and meat products (including edible offal),Sausages,
84fcfa17-5725-5b21-866f-1c4f9bbfb01f,et,Verivorst,blood sausage,"blood sausage, black pudding",Meat and meat products (including edible offal),Sausages,Cooked sausage
e56edccc-bb85-5d46-bf2b-a4838792c58e,et,Salaami,salami,"salami, a dry fermented sausage",Meat and meat products (including edible offal),Sausages,Dry sausage
fc7cb59c-fb4d-5f25-97b0-875468003950,et,Servelaat,cervelat,"cervelat, a semi-dry smoked sausage",Meat and meat products (including edible offal),Sausages,Semi-dry sausage
5f5ed21d-296c-587b-b056-df0aa4514493,et,Sink,ham,"ham, the cured pork leg",Meat and meat products (including edible offal),Preserved meat,
6952809d-e96c-53e8-96c1-bd078d40b20c,et,Suitsusink,smoked ham,smoked ham,Meat and meat products (including edible offal),Preserved meat,"Cooked Ham, Pork"
53801e7f-2601-5b22-a099-e2188d2c68c2,et,Suitsuliha,smoked meat,smoked meat,Meat and meat products (including edible offal),Preserved meat,
99327956-c0eb-51b0-a447-77e1501dff16,et,Rulaad,meat roll,"meat rolled up and cooked, sliced cold",Meat and meat products (including edible offal),Preserved meat,
4d5ca4a3-6aed-5b60-99b1-bc10acad6d15,et,Kanasink,chicken ham,ham made from chicken,Meat and meat products (including edible offal),Preserved meat,
bc8a2d91-8a6a-578e-8710-ebf5b3c534a4,et,Veisesink,beef ham,ham made from beef,Meat and meat products (including edible offal),Preserved meat,
bba1fbd6-3f19-5b76-b38a-07d66f0add7d,et,Kalkunifileesink,turkey breast ham,ham made from turkey breast,Meat and meat products (including edible offal),Preserved meat,
6092c2af-495b-5023-8636-b65609bff8d0,et,Suitsupeekon,smoked bacon,smoked bacon,Meat and meat products (including edible offal),Preserved meat,
c2a5e269-082d-5cce-a73f-4b571491cd53,et,Šašlõkivorstid,shashlik sausages,coarse sausages seasoned like shashlik,Meat and meat products (including edible offal),Sausages,
1da42bb7-51c8-5afb-9a8a-9721ab363488,et,Fuet,fuet,"fuet, a thin Catalan dry sausage",Meat and meat products (including edible offal),Sausages,Dry sausage
