id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
87d38900-0859-507a-b1e3-4e2b37feacd6,et,Viiner,frankfurter,"a frankfurter, a fine scalded sausage",Meat and meat products (including edible offal),Sausages,
2d6c0d86-f0ac-5edf-8bda-57e436f789d0,et,Kabanos,kabanos,"kabanos, a thin dried smoked sausage",Meat and meat products (including edible offal),,
3dcc11d0-92b8-50cb-bc4b-85ae18b3efe6,et,Pasteet,pate,a pate of liver or meat,Meat and meat products (including edible offal),"Pastes, pâtés and terrines",
f09e000a-3980-5fa4-999e-dc7a754b3ed6,et,Maksapasteet,liver pate,a pate made from liver,Meat and meat products (including edible offal),"Pastes, pâtés and terrines","Pate, pork liver"
0902f5c6-2b26-53b9-b61f-edde00a942b8,et,Sült,meat in aspic,boiled meat set in its own jelly,Meat and meat products (including edible offal),Meat specialities,Meat in aspic
19c3746a-8f18-55c8-8f7d-3e9a415e0678,et,Lihapallid,meatballs,meatballs,Composite food (including frozen products),Meat-based meals,Meat balls
7b2e0ddb-673d-51e0-82b2-46112c631638,et,Veiseliha,beef,"beef, the meat of cattle",Meat and meat products (including edible offal),,
f6308bca-0e0d-509a-a439-511e87ddd2ef,et,Konserv,canned food,canned food,,,
1a423742-9cf7-5357-abe7-5b36e86455c7,et,Snäkk,snack,something small eaten as a snack,,,
a3d10c1b-1357-59f4-8502-9a975d434443,et,Viinerid,frankfurters,"frankfurters, fine scalded sausages",Meat and meat products (including edible offal),Sausages,
de1a2c7a-5c1a-56a9-9ad1-1b856bf9f14f,et,Kanaviiner,chicken frankfurter,a frankfurter made from chicken,Meat and meat products (including edible offal),,
a6163f94-2824-5de7-ab2d-7e0cc021b46f,et,Pereviiner,family frankfurter,a frankfurter sold in a family pack,Meat and meat products (including edible offal),,
b4e137c8-6084-5087-89d7-966f32733c82,et,Suitsusardell,smoked bologna sausage,a short thick smoked sausage,Meat and meat products (including edible offal),,
acd97233-9184-52a6-aa95-8796adf2be83,et,Snakkvorst,snack sausage,a small dried sausage eaten as a snack,Meat and meat products (including edible offal),Sausages,
75463d40-1e65-5ec5-bb49-283c32e055be,et,Kanasnäkk,chicken snack,a small dried chicken snack,Meat and meat products (including edible offal),,
6967de67-7a7c-5906-a8f8-d6f892a29b88,et,Kananagitsad,chicken nuggets,breaded pieces of chicken,,,
02c5bb11-2844-5f0c-b7ad-5d868e188a3b,et,Kanafileenagitsad,chicken breast nuggets,breaded pieces of chicken breast,,,
3c19467c-88a1-5cb5-986d-fe58917c0fb8,et,Kanapallid,chicken balls,balls of minced chicken,,,
a4474b56-9a37-51e6-b77c-fc1b2872161b,et,Minilihapallid,mini meatballs,small meatballs,,,
b0a4213e-f29a-5898-9c10-fd7454e4023d,et,Kodupihvid,home-style patties,patties of minced meat,,,
3b10fe90-ffa1-522c-a876-3fe5308276ea,et,Veisemaksapasteet,beef liver pate,a pate made from beef liver,Meat and meat products (including edible offal),"Pastes, pâtés and terrines",
85b470b4-7361-5dee-ab37-98ab0f97614f,et,Broilerimaks,chicken liver,the liver of chicken,Meat and meat products (including edible offal),,
81fd2e84-0da3-5dab-a949-57ee2ff0a4c2,et,Sealihasült,pork in aspic,boiled pork set in its own jelly,Meat and meat products (including edible offal),,
ba734d93-178a-52b1-9030-85892be5e079,et,Sealiha,pork,"pork, the meat of pigs",Meat and meat products (including edible offal),,
