id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
fd974189-7c17-51ce-825a-2de933855e2e,et,Kala,fish,fish,"Fish and other seafood (including amphibians, reptiles, snails and insects)",,
9c6c9b6c-6a97-5a0c-a923-24e2c30c3e32,et,Lõhe,salmon,Atlantic salmon,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Salmon and trout (Salmo spp.)
1b1e1cb9-24a5-5aa3-8355-3b99a55a02b5,et,Lõhefilee,salmon fillet,a fillet of salmon,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Salmon and trout (Salmo spp.)
c08f1a8a-2efc-5e1d-a2df-640630b33767,et,Graavilõhe,gravlax,"gravlax, salmon cured in salt, sugar and dill","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Salmon and trout (Salmo spp.)
12b36afb-7f9f-57b5-9ff6-fa5537a24b28,et,Heeringas,herring,Atlantic herring,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
e17ed93e-89cc-549d-929b-936fdda6467c,et,Räim,Baltic herring,"Baltic herring, the small Baltic race of the Atlantic herring","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
1c0e90bc-c605-548e-8546-51d33e3553a1,et,Räimefilee,Baltic herring fillet,a fillet of Baltic herring,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
09dbeab8-aa58-51be-9370-820b491082b7,et,Sprotid,sprats,"sprats, a small Baltic clupeid usually smoked in oil","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Sprat (Sprattus sprattus)
5f839d94-b961-56d6-a5ae-1275b0d5d819,et,Tursk,cod,cod,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Cod and whiting (Gadus spp.)
9349f8af-951a-54db-a0b3-88db576b5e3d,et,Tursamaks,cod liver,"the liver of cod, tinned in its own oil",Animal and vegetable fats and oils,Fish oil,Cod liver oil
418a87d8-5bdb-52ee-b462-ac14cc05416d,et,Makrell,mackerel,mackerel,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Mackeral (Scomber)
