id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
b88037bc-ec67-52d3-9540-d600e5bfaecd,et,Kitsepiim,goat milk,milk of goats,Milk and dairy products,Liquid milk,Goat milk
7630b23c-c055-5604-9f09-386f41de8efa,et,Lambapiimajogurt,sheep milk yoghurt,yoghurt made from sheep milk,Milk and dairy products,Fermented milk products,"Yoghurt, sheep milk"
cf08bb2a-a97a-5056-932c-dee0b1210f4c,et,Kitsepiimajogurt,goat milk yoghurt,yoghurt made from goat milk,Milk and dairy products,Fermented milk products,"Yoghurt, goat milk"
7214b845-3057-57ac-bd7f-feac1f8db6d2,et,Talukodujuust,farm cottage cheese,farmhouse cottage cheese,Milk and dairy products,Cheese,Fresh uncured cheese
b5381860-1e91-528f-ac6d-046f40a2493b,et,Kohoke,glazed curd bar,"kohoke, Nopri's spelling of kohuke, a glazed curd bar",Grains and grain-based products,Fine bakery wares,Pastries and cakes
7e90934f-0696-5c56-8ab5-a9e850ec0ae7,et,Kissellimaius,kissel treat,a sweet built on a starch-set fruit gel,Milk and dairy products,Cheese,Fresh uncured cheese
644a81ff-6b03-52a3-b726-312bf8317950,et,Panna,panna (cotta),"panna cotta, cream set with gelatine","Snacks, desserts, and other foods",Ices and desserts,Custard
6d3ad390-234f-5b28-ab2b-eb0eb5a87d3d,et,Mahemuna,organic egg,an organic egg,Eggs and egg products,"Eggs, fresh","Whole egg, chicken"
8e60a6c9-47ae-5beb-9c36-a2329c6f5001,et,Burrata,burrata,"burrata, a mozzarella pouch filled with cream",Milk and dairy products,Cheese,"Cheese, Mozzarella"
983b56f7-ea58-5fd5-a8dd-4620df17964f,et,Stracciatella,stracciatella,"stracciatella, the torn mozzarella curd burrata is filled with",Milk and dairy products,Cheese,"Cheese, Mozzarella"
