id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
96f235de-4fd5-5a45-a2d2-8017f5b399a0,lt,Jogurtas,yoghurt,"yoghurt, plain or with fruit",Milk and dairy products,Fermented milk products,
bca078bb-ea25-578c-97df-12a7e7c4d67f,lt,Graikiškas jogurtas,Greek yoghurt,"Greek-style strained yoghurt, thick and high in fat",Milk and dairy products,Fermented milk products,
abba992f-e6aa-5b2c-9690-d8ee7cec6135,lt,Varškės sūrelis,glazed curd bar,"a small sweetened curd bar, usually glazed with chocolate",Grains and grain-based products,Fine bakery wares,Pastries and cakes
6273e27e-e112-51ac-9bc4-f83cfb8a658c,lt,Pudingas,pudding,a milk or curd pudding,"Snacks, desserts, and other foods",Ices and desserts,
f906341f-bb58-5f79-b84a-3133fbef3242,lt,Želė,jelly,"jelly: a set gelatine dessert, or the gum a sweet is made of",,,
4cf034cc-a74d-5c0b-bbca-8da046ef4ee5,lt,Varškytė,soft curd,"the diminutive of varškė, a soft sweetened fresh curd",Milk and dairy products,Cheese,Fresh uncured cheese
b4555fe3-4f6c-5dee-bce9-09fd0890ae93,lt,Ryžių košė,rice pudding,"rice cooked soft in milk, eaten as a dessert","Snacks, desserts, and other foods",Ices and desserts,Starchy pudding
79168835-8d9c-557a-940e-cfcc13d97619,lt,Desertas,dessert,a sweet dessert; the word says nothing about what it is made of,,,
2cb391e0-e72c-59dc-aebf-916bb0b54ebb,lt,Batonėlis,bar,"a bar to eat in the hand: chocolate, biscuit, cereal or protein",,,
83beb8ab-848a-5864-bd5a-183104c9a007,lt,Batonėlių,bars (of bars),"the genitive plural of batonėlis, bar",,,
da5a17a2-96f5-53d2-bd1a-21b90ddb4bc7,lt,Putėsiai,mousse,a whipped aerated mousse,,,
06ff2dae-2075-58ac-ac2c-e0d855e1272c,lt,Tyrė,puree,a smooth puree of fruit or vegetables,,,
