id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
43c985c9-d095-5ed8-85c9-ee9160e96581,lt,Dešra,sausage,a sausage,Meat and meat products (including edible offal),Sausages,
8db193f3-6706-57e2-81ab-6365a7745479,lt,Dešros,sausage (of sausage),"the genitive of dešra, sausage",Meat and meat products (including edible offal),Sausages,
e04b65b5-0e86-56e0-9a50-cacce2b4899c,lt,Vytinta dešra,dry sausage,an air-dried cured sausage,Meat and meat products (including edible offal),Sausages,Dry sausage
68a76910-d53f-5f3a-800d-7307705cce07,lt,Virta dešra,cooked sausage,"a boiled sausage, sliced cold",Meat and meat products (including edible offal),,
b013ed17-d5c7-5d09-be44-7b841ba5de00,lt,Saliamis,salami,"salami, a dry fermented sausage",Meat and meat products (including edible offal),Sausages,Dry sausage
e31973d5-5c2b-50ca-b82b-36d0b72f6b2f,lt,Kabanos,kabanos,"kabanos, a thin dried smoked sausage",Meat and meat products (including edible offal),Sausages,Dry sausage
6d40d215-a7d8-5840-807f-aefbd11d21c9,lt,Fuet,fuet,"fuet, a thin Catalan dry sausage",Meat and meat products (including edible offal),Sausages,Dry sausage
db10fee2-fc5a-5134-bfd9-0414e5b67efd,lt,Chorizo,chorizo,"chorizo, a paprika-spiced Spanish dry sausage",Meat and meat products (including edible offal),Sausages,Dry sausage
4c26cf21-c13c-5961-bf36-bc29dcde99db,lt,Sardelės,thick sausages,short thick boiling sausages,Meat and meat products (including edible offal),,
ca52f3c3-109b-554d-a4fb-1c72b3e106fe,lt,Paštetas,pate,a pate of liver or meat,Meat and meat products (including edible offal),"Pastes, pâtés and terrines",
0b6fca8e-2e78-596e-9c85-cb8f05923c93,lt,Kepenėlių paštetas,liver pate,a pate made from liver,Meat and meat products (including edible offal),"Pastes, pâtés and terrines",
2de092fb-4f35-5230-a73a-92661ea49eb3,lt,Prosciutto,prosciutto,"prosciutto, an Italian air-dried ham",Meat and meat products (including edible offal),Preserved meat,"Ham, pork"
425e5655-5c8b-5f6a-a6cd-f6b96bea79b2,lt,Bekonas,bacon,"bacon, cured pork belly or back",Meat and meat products (including edible offal),Preserved meat,
3e3c4cbd-9039-5eba-8836-c16ae98f6b3d,lt,Lašiniai,pork back fat,"lašiniai, cured pork back fat eaten in slices",Animal and vegetable fats and oils,Animal fat,
9d662a04-2fd2-5efe-a2f5-040bf1d64d5f,lt,Elniena,venison,"venison, the meat of deer",Meat and meat products (including edible offal),,
7ef5ba50-f37f-5fc9-95be-6b6d15196e9c,lt,Lazdelės,sticks,"sticks, a shape: of dried sausage, cheese or bread",,,
1452ff54-9886-5986-8512-2794e4f8fb97,lt,Užkandis,snack,something small eaten as a snack,,,
9f25fdb8-3c8e-5a9d-91b9-9e4e27e4d9a5,lt,Saliamio,salami (of salami),"the genitive of saliamis, salami",Meat and meat products (including edible offal),Sausages,Dry sausage
aba27fda-13d0-5225-b320-60c959b697a3,lt,Salamini,salamini,"salamini, small salami",Meat and meat products (including edible offal),Sausages,Dry sausage
28f9176e-ab36-5ecb-896d-9e7ad83e46dd,lt,Skilandukas,small skilandis,"the diminutive of skilandis, a Lithuanian cold-smoked sausage cured in a stomach or bladder",Meat and meat products (including edible offal),Sausages,Dry sausage
865bd6f3-aade-5492-b959-13a0177be9ff,lt,Servelatas,cervelat,"cervelat, a semi-dry smoked sausage",Meat and meat products (including edible offal),Sausages,Semi-dry sausage
d34cea4d-c965-580c-aa9d-25a694603cf2,lt,Slėgtainis,brawn,"brawn, boiled head and offal meat set in its own jelly",Meat and meat products (including edible offal),Meat specialities,Head cheese (Brawn)
106b6977-0df3-5bd7-bf3c-4be0d48dccd0,lt,Vyniotinis,meat roll,"meat rolled up and cooked, sliced cold",Meat and meat products (including edible offal),,
c0a3526b-5219-5408-9d60-379c82e08804,lt,Suktinis,roulade,a rolled joint of meat,Meat and meat products (including edible offal),,
b5475eb8-cc21-53a3-bdd1-69cb57f6b903,lt,Šiaudeliai,meat straws,thin dried strips of cured meat,Meat and meat products (including edible offal),Preserved meat,
4678a16a-bf51-58ef-a4e5-4f26cfd6a381,lt,Stirniena,roe venison,the meat of roe deer,Meat and meat products (including edible offal),,
9310c77f-2548-579a-a061-7f498393495c,lt,Šniceliai,schnitzels,breaded flattened cutlets,Composite food (including frozen products),Meat-based meals,
8279b541-28e9-544e-abde-88591c8d7c66,lt,Krūtinėlė,breast,the breast of a bird,Meat and meat products (including edible offal),Poultry,
f83e1745-1709-507d-bb44-6ffe90457a2c,lt,Puselė,half,"half a bird, split down the back",Meat and meat products (including edible offal),Poultry,
77b08f82-c94b-5664-8b29-04a6fce84e33,lt,Ketvirtis,quarter,a quarter of a bird,Meat and meat products (including edible offal),Poultry,
72a41ac2-f2a0-5bea-9aaf-ff0c5ed24b7a,lt,Juostelės,strips,strips,,,
aed9004a-e42b-57aa-bb09-2933d730c28a,lt,Kubeliai,cubes,cubes,,,
