id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
fc0bd01a-12d7-55cc-874c-c48e628c9dd4,lt,Žuvis,fish,fish,"Fish and other seafood (including amphibians, reptiles, snails and insects)",,
a766bb3d-2d2c-5373-a603-b1df6c243db0,lt,Žuvies,fish (of fish),"the genitive of žuvis, fish","Fish and other seafood (including amphibians, reptiles, snails and insects)",,
1b19d48b-9264-5f32-ac73-eeb9f2dd7405,lt,Žuvų,fish (of fishes),"the genitive plural of žuvis, fish","Fish and other seafood (including amphibians, reptiles, snails and insects)",,
3bef5e86-5e9f-5b79-9a64-f3fb1279b156,lt,Lašiša,salmon,Atlantic salmon,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Salmon and trout (Salmo spp.)
14cac899-81c0-5b1a-a958-d4e341a2eb51,lt,Lašišos,salmon (of salmon),"the genitive of lašiša, salmon","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Salmon and trout (Salmo spp.)
1a876bbd-f2d3-5669-9475-33c63b50294e,lt,Upėtakio,trout (of trout),"the genitive of upėtakis, trout","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Salmon and trout (Salmo spp.)
2d80a47f-23c5-5ce5-908a-24367d7f1699,lt,Palija,char,Arctic char,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Char (Salvelinus)
c6dab325-da5f-5769-b7fc-272f070939c2,lt,Silkė,herring,Atlantic herring,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
c6bcc4cf-cefa-5ead-ba21-af86e45086e7,lt,Silkės,herring (of herring),"the genitive of silkė, herring","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
9fa24f40-e1dd-5528-af45-609da2fe6b8b,lt,Strimelė,Baltic herring,"Baltic herring, the small Baltic race of the Atlantic herring","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
19e9ad19-e6b5-51d6-bf9c-644d42bfb89a,lt,Strimelės,Baltic herring (of herring),"the genitive of strimelė, Baltic herring","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Herring (Clupea)
d7b65745-c4e9-56a3-8d91-3a3ae1ea9d35,lt,Šprotai,sprats,"sprats, a small Baltic clupeid usually smoked in oil","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Sprat (Sprattus sprattus)
74c81709-5865-56e4-988a-f24a3c08c0d5,lt,Skumbrė,mackerel,mackerel,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Mackeral (Scomber)
94062c86-e45a-5b68-9daf-4f077a922ea2,lt,Skumbrės,mackerel (of mackerel),"the genitive of skumbrė, mackerel","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Mackeral (Scomber)
30fe014d-3b5a-5b2f-b9d4-edc506f9b94c,lt,Ančiuviai,anchovies,anchovies,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Anchovy (Engraulis)
54a48e14-d86b-508f-ad10-807485d2d737,lt,Sardinės,sardines,sardines,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Sardine and pilchard (Sardina)
ac6dfcba-046b-5d51-a2ab-093e430ebcc1,lt,Menkė,cod,cod,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Cod and whiting (Gadus spp.)
bc33e96a-37a8-565c-be5c-6527a9cb16a0,lt,Menkės,cod (of cod),"the genitive of menkė, cod","Fish and other seafood (including amphibians, reptiles, snails and insects)",,
e339ce7a-8c5e-5236-990a-94df7bde312b,lt,Menkių,cod (of cods),"the genitive plural of menkė, cod: menkių kepenėlės is cod liver","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Cod and whiting (Gadus spp.)
5414165b-16c6-5518-8453-0bb4ac1916ca,lt,Merlangai,whiting,"whiting, a small gadoid","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Cod and whiting (Gadus spp.)
6591b089-d7be-5ba8-a0fe-6803a4881adc,lt,Polakas,saithe,"saithe or pollock, a gadoid relative of cod","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
127e1731-9078-518f-af3f-14fa7fded4ed,lt,Karpis,carp,common carp,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Carp (Cyprinus)
6359960e-d52e-5318-bd53-dcabe6345193,lt,Karpio,carp (of carp),"the genitive of karpis, carp","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Carp (Cyprinus)
5ad33b1b-d0e1-5912-964a-6b25e4dc85ae,lt,Karšio,bream (of bream),"the genitive of karšis, the freshwater bream","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
de0696bd-5474-5954-b19a-ea80e13c8713,lt,Ešerys,perch,"perch; jūrinis ešerys is the redfish, a different fish","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
2789c41e-6980-5e46-bcaf-719e028e6fdf,lt,Lydeka,pike,"pike; only in jūrinė lydeka, sea pike, does the word mean hake","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
8bfca288-4bc0-577a-b23a-31f7da9cea55,lt,Lydekos,pike (of pike),"the genitive of lydeka, pike, or of the hake in jūrinė lydeka","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
814f52ff-b75c-5b0f-9306-7c5b08a3b886,lt,Jūrinė lydeka,hake,hake,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Hake (Merluccius)
4ff9402a-95a7-58c3-93c7-23163cb58d75,lt,Tunas,tuna,tuna,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Tuna (Thunnus)
f370b145-672f-50a1-b6c5-5fa56bf3be92,lt,Tuno,tuna (of tuna),"the genitive of tunas, tuna","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Tuna (Thunnus)
8d9e3203-3c3a-5c89-a8cd-8fae1d9387ec,lt,Šamo,catfish (of catfish),"the genitive of šamas, which covers the wels, the pangasius and the African catfish","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
71d99924-05de-5d53-97e8-15bbb3852185,lt,Vilkžuvė,wolffish,"wolffish, the Atlantic catfish","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Sea catfish and wolf-fish (Anarhichas)
1701a528-3d59-5f83-93be-427ba20dc59c,lt,Stintos,smelt (of smelt),"the genitive of stinta, the European smelt","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Smelt (Osmerus)
3989e624-a1c7-51bc-978e-86d7a4639656,lt,Paltusas,halibut,halibut,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,Halibut (Hippoglossus spp.)
aede9485-d647-5b49-a1d9-9f83ad9ed6c5,lt,Stauridė,horse mackerel,"horse mackerel or scad, not a true mackerel","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
3c7ed1be-8a5b-5ee4-bdca-0d5a6b46efc9,lt,Selarai,scad,"scad, a small carangid","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
b47b8e7a-3aee-5733-85e7-6b0285edaf95,lt,Eršketas,sturgeon,sturgeon,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
b5e76fbc-5738-5b60-84e5-b973aa2d041e,lt,Krevetės,prawns,prawns or shrimp,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Crustaceans,
95a5107f-c146-54cb-bea3-dddc64e1e07a,lt,Krevečių,prawn (of prawns),"the genitive plural of krevetė, prawn","Fish and other seafood (including amphibians, reptiles, snails and insects)",,
0101141f-5d61-58c4-8319-3fcaff8761f9,lt,Krabų,crab (of crabs),"the genitive plural of krabas, crab","Fish and other seafood (including amphibians, reptiles, snails and insects)",,
3a3abbb2-4cdb-5116-ad95-ed6ae6686bb5,lt,Midijos,mussels,mussels,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,Mussel (Mytilus edulis)
38905bc3-dadb-5345-a7a8-51f644ced821,lt,Austrės,oysters,oysters,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,Oyster (Ostrea edulis)
5ad409b3-01d4-51bd-bd5a-a771b1702d3f,lt,Kalmarai,squid,squid,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,Squid (Loligo vulgaris)
877bbc26-4afc-5d17-839e-17027b8c40f9,lt,Kalmarų,squid (of squid),"the genitive plural of kalmaras, squid","Fish and other seafood (including amphibians, reptiles, snails and insects)",Water molluscs,Squid (Loligo vulgaris)
f45087ed-ca52-57af-bd82-ce485dab16b2,lt,Ikrai,roe,fish roe,"Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish products,
b4beebfa-cbe8-5318-90ac-70f4343a9bdc,lt,Ikrų,roe (of roe),"the genitive plural of ikrai, roe","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish products,
24d2deae-5960-57fc-a55d-0b15c7e61ae4,lt,Surimi,surimi,"surimi, a paste of minced white fish","Fish and other seafood (including amphibians, reptiles, snails and insects)",,
189b3b81-2442-5566-a7ae-26af07964f30,lt,Krabų lazdelės,crab sticks,"crab sticks, surimi coloured and shaped to imitate crab","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish meat,
b560e396-b88e-52d4-9409-1e90c701ca35,lt,Piršteliai,fingers,"fish fingers, breaded batons of fish","Fish and other seafood (including amphibians, reptiles, snails and insects)",Fish products,Fish fingers
