id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
63b3a427-7116-5a4a-90b6-e94240847cd3,lt,Vaisiai,fruit,fruit,Fruit and fruit products,,
a7d6637a-1730-55e3-8e79-143f5b95c9b9,lt,Uogos,berries,berries,Fruit and fruit products,,
262de098-81cd-5e55-bebb-9eb5deea1120,lt,Obuoliai,apples,apples,Fruit and fruit products,Pome fruits,Apple (Malus domesticus)
715601ae-e544-5828-8f70-3a6cff3c9fb9,lt,Kriaušės,pears,pears,Fruit and fruit products,Pome fruits,Pear (Pyrus communis)
34447498-488a-5d1b-9e68-2a8a9c18dd5e,lt,Apelsinai,oranges,oranges,Fruit and fruit products,Citrus fruits,Oranges (Citrus sinensis)
1b288a54-808a-5223-a74f-6e98d282b3aa,lt,Mandarinai,mandarins,mandarins and clementines,Fruit and fruit products,Citrus fruits,Mandarins (Citrus reticulata)
793f71d8-4ed2-52f1-ae92-8912b8f88e2a,lt,Citrinos,lemons,"lemons; žaliosios citrinos, green lemons, are limes",Fruit and fruit products,Citrus fruits,Lemons (Citrus limon)
056959ee-2540-5b6d-a1e5-0b82fc13601c,lt,Greipfrutai,grapefruit,grapefruit,Fruit and fruit products,Citrus fruits,Grapefruit (Citrus paradisi)
7b94c3fe-f6a8-5080-9ee1-2bac510f0564,lt,Vynuogės,grapes,table grapes,Fruit and fruit products,Berries and small fruits,Table grapes (Vitis euvitis)
ee6c883a-d57c-5068-83fa-4e890dc39e3e,lt,Braškės,strawberries,strawberries,Fruit and fruit products,Berries and small fruits,Strawberries (Fragaria × ananassa)
ebe87aed-c83a-5fb7-aba5-48ced6576fd8,lt,Avietės,raspberries,raspberries,Fruit and fruit products,Berries and small fruits,Raspberries (Rubus idaeus)
96611f6d-10e2-5411-8f8e-e1f7d252686e,lt,Šilauogės,blueberries,cultivated blueberries,Fruit and fruit products,Berries and small fruits,Blueberries (Vaccinium corymbosum)
3eee5a31-944e-540e-ac02-37cea720aae4,lt,Spanguolės,cranberries,cranberries,Fruit and fruit products,Berries and small fruits,Cranberries (Vaccinium macrocarpon)
f516be8a-4c42-5fe4-b037-d975dc58307b,lt,Serbentai,currants,"currants, red, black or white",Fruit and fruit products,Berries and small fruits,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)"
726d7b42-7d58-5dec-a14f-036d2402d1cd,lt,Vyšnios,sour cherries,sour cherries,Fruit and fruit products,Stone fruits,Sour cherry (Prunus cerasus)
82f3ebf2-703c-5cfb-a740-c664e0327c80,lt,Slyvos,plums,plums,Fruit and fruit products,Stone fruits,Plums (Prunus domestica)
7b815c31-9f46-5990-ac47-7bd7440e7ebc,lt,Persikai,peaches,peaches,Fruit and fruit products,Stone fruits,Peaches (Prunus persica)
