id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
686823b4-9515-54d4-984d-cbda6520ba8d,lt,Avižų,oat (of oats),"the genitive plural of aviža, oat",Grains and grain-based products,,
8772ed50-1d21-554d-9782-c540d96b3f43,lt,Ryžių,rice (of rice),"the genitive plural of ryžiai, rice",Grains and grain-based products,,
1e554b7e-5860-592f-897a-3d345b4cb9ef,lt,Kviečių,wheat (of wheat),"the genitive plural of kviečiai, wheat",Grains and grain-based products,,
480fd20e-1094-5df6-a148-21aba37f9ec6,lt,Grikių,buckwheat (of buckwheat),"the genitive plural of grikiai, buckwheat",Grains and grain-based products,,
2145d3cb-1908-5259-8818-e47bcf0522c3,lt,Migdolų,almond (of almonds),"the genitive plural of migdolas, almond","Legumes, nuts and oilseeds",Tree nuts,
787a6f6a-d043-5230-bf96-7a16decfdcbb,lt,Anakardžių,cashew (of cashews),"the genitive plural of anakardis, cashew","Legumes, nuts and oilseeds",Tree nuts,
20982253-26e9-50fd-affc-d71a6d57f029,lt,Kokosų,coconut (of coconuts),"the genitive plural of kokosas, coconut","Legumes, nuts and oilseeds",Tree nuts,
bf889a4e-5f6c-5750-a442-4cdbbfd3c32d,lt,Sojos,soya (of soya),"the genitive of soja, the soya bean","Legumes, nuts and oilseeds",,
8c4752f5-3527-53cc-a0ec-94cea2c79546,lt,Sojų,soya (of soyas),"the genitive plural of soja, the soya bean","Legumes, nuts and oilseeds",,
f42ad16e-d3d0-546a-b48c-324c625c6f8d,lt,Žirnių,pea (of peas),"the genitive plural of žirnis, pea",,,
326a2b03-1313-5d6b-afbe-a3042651816a,lt,Avižų gėrimas,oat drink,"a drink made from oats, used as milk is",Milk and dairy products,Milk and milk product imitates,Oats drink
0474b5b0-e831-5b47-a6ef-0076f3a53ce8,lt,Sojos gėrimas,soya drink,"a drink made from soya beans, used as milk is",Milk and dairy products,Milk and milk product imitates,Soya drink
827de451-0cc8-5492-b94b-f0a34a516e4c,lt,Sojų gėrimas,soya drink,"a drink made from soya beans, used as milk is",Milk and dairy products,Milk and milk product imitates,Soya drink
21f45e74-63d5-538b-801e-ba644e154c00,lt,Migdolų gėrimas,almond drink,"a drink made from almonds, used as milk is",Milk and dairy products,Milk and milk product imitates,Almond drink
cc5a52a9-8608-519c-a0b6-02899747a94a,lt,Ryžių gėrimas,rice drink,"a drink made from rice, used as milk is",Milk and dairy products,Milk and milk product imitates,Rice drink
15cb71fa-9851-5f29-a268-a027e93d9bdd,lt,Kokosų gėrimas,coconut drink,a drink made from coconut,Vegetables and vegetable products (including fungi),Vegetable products,Coconut milk (Cocos nucifera)
cc5deceb-34ee-5935-8801-ba9232cf8691,lt,Tofu,tofu,"tofu, curd pressed from soya drink",Milk and dairy products,Milk and milk product imitates,Tofu
993168ee-4545-5d46-9948-3204fbf5051c,lt,Tyrelė,puree (small),"the diminutive of tyrė, a smooth fruit puree",Fruit and fruit products,,
