id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
1621690f-fbc3-500f-a186-482fa18cf56c,lt,Duona,bread,bread,Grains and grain-based products,Bread and rolls,
5ab052a7-e7d0-5d6f-9e68-392c7583f895,lt,Duonos,bread (of bread),"the genitive of duona, bread",Grains and grain-based products,Bread and rolls,
0a50bab8-9acb-531e-b24e-2bc018e2db92,lt,Duonelės,small breads,"the diminutive of duona: rolls, or thin crisp breads",Grains and grain-based products,Bread and rolls,
0d72640f-c872-543a-abcc-c8dd5ff825cf,lt,Duoniukai,bread bites,small dried pieces of bread eaten as a snack,Grains and grain-based products,Bread and rolls,
fb139f82-e65d-560b-a6d6-5cd1531572ad,lt,Juoda duona,black bread,dark Lithuanian rye bread,Grains and grain-based products,Bread and rolls,Mixed wheat and rye bread and rolls
00854660-9d8a-59c2-9e9e-5d70621ccc83,lt,Ruginė duona,rye bread,"rye bread, in Lithuania nearly always part wheat",Grains and grain-based products,Bread and rolls,Mixed wheat and rye bread and rolls
53e97a71-f7c2-511e-9683-3da39cc5d7bc,lt,Batonas,white loaf,a long white wheat loaf,Grains and grain-based products,Bread and rolls,Wheat bread and rolls
1483bc7d-a4ce-5631-9360-e54533df97b4,lt,Bandelė,bun,"a bun, sweet or plain",Grains and grain-based products,,
4dec9854-084d-511c-a655-c8a4db2e439a,lt,Bandelės,buns,"buns, sweet or plain",Grains and grain-based products,,
9d6e8060-dc2a-54d8-afb8-cecbb9613c77,lt,Riestainiai,bread rings,"riestainiai, boiled-then-baked bread rings, bagel-like",Grains and grain-based products,Bread and rolls,
f3cbda83-6728-50e0-9ebd-2f495b6b6352,lt,Džiūvėsėliai,breadcrumbs,"dried breadcrumbs, and the rusks they are made from",Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk"
f09e15a4-d45d-5d96-83f3-080f52871d71,lt,Lavašas,lavash,"lavash, a thin unleavened flatbread",Grains and grain-based products,Bread and rolls,"Unleavened bread, crisp bread and rusk"
4150d962-57eb-5fbd-bb09-b9fb2d226f69,lt,Pyragas,cake or pie,a cake or a filled pie,Grains and grain-based products,Fine bakery wares,Pastries and cakes
05a878aa-cbd7-5375-b498-cd18a6689716,lt,Pyragėlis,small pie,"the diminutive of pyragas, a small filled pastry",Grains and grain-based products,Fine bakery wares,Pastries and cakes
db27556c-48a6-519f-8a4d-6ab471f16867,lt,Pyragaičiai,small cakes,small cakes and pastries,Grains and grain-based products,Fine bakery wares,Pastries and cakes
451c0fe9-1f15-5755-bd47-9247be6c2837,lt,Kruasanas,croissant,a croissant,Grains and grain-based products,Fine bakery wares,Pastries and cakes
cbeb41eb-eff5-5e47-bf9f-57cf043fff95,lt,Spurga,doughnut,a doughnut,Grains and grain-based products,Fine bakery wares,Pastries and cakes
5ac36cd7-f8cf-5466-b71f-2b56929b2df8,lt,Sausainiai,biscuits,biscuits (cookies),Grains and grain-based products,Fine bakery wares,Biscuits (cookies)
