id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
4cb366a2-1fba-5599-81ba-254a5932522b,lt,Koldūnai,dumplings,"koldūnai, filled boiled dumplings of the pelmeni family",Composite food (including frozen products),Cereal-based dishes,"Pasta, cooked"
2272435c-aca6-5c42-9384-18c77def5eba,lt,Virtiniai,boiled dumplings,"virtiniai, filled dumplings boiled in water",Composite food (including frozen products),Cereal-based dishes,"Pasta, cooked"
7cbb7abf-0824-5307-9820-e45143ee3206,lt,Cepelinai,cepelinai,"cepelinai, large Lithuanian dumplings of grated potato around a meat filling",Starchy roots and tubers,Potatoes and potatoes products,"Potato dumpling, plain"
5115faa1-8ad9-5bae-9802-91a7ca9c5bfc,lt,Lazanija,lasagne,lasagne,Composite food (including frozen products),Cereal-based dishes,"Pasta, cooked"
f7fd747e-626b-5c6f-86ff-f2618f943172,lt,Pica,pizza,pizza,Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies
ce03d216-0f89-5264-a317-3825211f08e4,lt,Picos,pizza (of pizza),"the genitive of pica, pizza",Composite food (including frozen products),Cereal-based dishes,Pizza and pizza-like pies
01fd2ec5-15ca-549d-b1e4-5b5ba59e0c91,lt,Blynai,pancakes,pancakes; bulviniai blynai are potato pancakes,,,
4f148630-1423-5bd2-900d-c8e379c99049,lt,Blyneliai,small pancakes,"the diminutive of blynai, small pancakes",,,
b4d23e03-cf5f-5cab-84b6-b28aa626484f,lt,Tešla,dough,"dough or pastry, raw",Grains and grain-based products,Fine bakery wares,
1e043c30-f900-5d33-b6d1-58ad9c96a196,lt,Blynas,pancake,a pancake,,,
535c979d-af5c-5f1d-b344-aa0faaa1e2fd,lt,Varškėčiai,curd fritters,"varškėčiai, fritters of fresh curd and flour",Grains and grain-based products,Fine bakery wares,Pastries and cakes
8c33afee-4de1-5b55-bc9d-a27b25a6aeae,lt,Kruasanai,croissants,croissants,Grains and grain-based products,Fine bakery wares,Pastries and cakes
addf5f5b-4044-5f5f-a324-f3947d079855,lt,Rageliai,crescent rolls,crescent-shaped filled pastries,Grains and grain-based products,Fine bakery wares,Pastries and cakes
326e3b3d-0760-5a4a-8140-86a373e0bb6f,lt,Batonai,loaves,long white wheat loaves,Grains and grain-based products,Bread and rolls,Wheat bread and rolls
93183d5c-e267-59c7-82a3-50ecadb021e9,lt,Kotletai,cutlets,"kotletai, patties of minced meat, usually breaded",Composite food (including frozen products),Meat-based meals,Meat croquettes
8d7d29f2-4795-55b3-ace4-9b45c77322d5,lt,Šnicelis,schnitzel,a breaded flattened cutlet,Composite food (including frozen products),Meat-based meals,
d8a0a69b-55a0-5c9b-8b63-f54ac82fd570,lt,Mėsainiai,burgers,burgers,Composite food (including frozen products),,
efe85d77-3758-5288-9149-b6557f72af58,lt,Burgeriai,burgers,"burgers, the borrowed name",Composite food (including frozen products),,
cee55cdc-05f4-54c3-bd76-150767a35790,lt,Falafeliai,falafel,"falafel, fried balls of ground chickpeas",Composite food (including frozen products),Beans-based meals,
1d13c163-da25-51cf-81c6-afa898fa6376,lt,Paelija,paella,"paella, a Spanish rice dish",Composite food (including frozen products),,
8dea61b9-3e29-5bfe-93be-b91768d5e821,lt,Vištiena,chicken,chicken meat,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus)
