id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
f3916c2c-c5f0-5c64-8b63-2b389a2c3a2f,lt,Alyvuogės,olives,table olives,Fruit and fruit products,Miscellaneous fruits,Table olives (Olea europaea)
5eec728f-4473-59e2-8f78-c9289ed612c6,lt,Sriuba,soup,soup,Composite food (including frozen products),Ready to eat soups,
889dff9e-8c09-5d37-85d9-71f13f6ded48,lt,Uogienė,jam,"jam, fruit boiled with sugar",Fruit and fruit products,"Jam, marmalade and other fruit spreads",Jam
5ea4ce96-f1ed-529c-9815-b55eef700ccc,lt,Džemas,jam,"jam, the borrowed name",Fruit and fruit products,"Jam, marmalade and other fruit spreads",Jam
0f6b02e9-5ab5-52d9-93fc-db7dd314a503,lt,Marmeladas,marmalade,"marmalade, a citrus preserve",Fruit and fruit products,"Jam, marmalade and other fruit spreads",Marmalade
88800bed-1614-582c-8932-b17e76c4ba97,lt,Kompotas,compote,fruit stewed in syrup,Fruit and fruit products,Other fruit products (excluding beverages),Fruit compote
d1b77d6e-935d-5f33-8a50-0619336376ba,lt,Riešutų kremas,nut butter,"a spread of ground nuts, sweetened or not",,,
7d7bf693-f56f-58d3-bbc4-987bebbb77cd,lt,Žemės riešutų,peanut (of peanuts),"the genitive plural of žemės riešutas, peanut",,,
a6ef6ca3-328e-5cb9-b40f-e328db937ecb,lt,Kukurūzai,sweetcorn,sweetcorn kernels,Vegetables and vegetable products (including fungi),Fruiting vegetables,Sweet corn (Zea mays var. saccharata)
3de969cc-e539-52c0-ae3d-01923a73f50c,lt,Kaparėliai,capers,"capers, pickled flower buds",Vegetables and vegetable products (including fungi),,
5b560a1d-3e48-5ae9-90c4-fda146076334,lt,Medus,honey,honey,Sugar and confectionary,Honey,Honey
0aa6bd69-13fa-5aa2-a008-be1c7631ba0b,lt,Lęšiai,lentils,lentils,"Legumes, nuts and oilseeds","Legumes, beans, dried",Lentils (Lens culinaris syn. L. esculenta)
94542a1f-cbb8-5a89-aa28-09de3963719b,lt,Sirupas,syrup,a sweet syrup,Sugar and confectionary,Molasses and other syrups,
f618902b-f530-5d21-99b6-de0cf2dcb188,lt,Klevų sirupas,maple syrup,maple syrup,Sugar and confectionary,Molasses and other syrups,Maple syrup
9c78d16d-ba9b-531f-94cf-4d964f60eb60,lt,Rūgštynės,sorrel,"sorrel, a sharp-tasting leaf",Vegetables and vegetable products (including fungi),Leaf vegetables,Sorrel (Rumex spp.)
6dd8527d-b668-5a0e-a98d-2ded820762eb,lt,Svogūnėliai,small onions,"the diminutive of svogūnas, small pickling onions",Vegetables and vegetable products (including fungi),Bulb vegetables,"Onions, bulb (Allium cepa)"
c7158802-999c-57b8-8428-18bda4655f55,lt,Griežinėliai,slices,thin round slices,,,
