id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
ad1c1bcf-5839-5d2c-8253-393586bb93d4,lt,Grikiai,buckwheat,buckwheat groats,Grains and grain-based products,Grains for human consumption,Buckwheat grain
6ee6ba0d-c19f-57d4-bd97-736b46958a73,lt,Kruopų,groats (of groats),"the genitive plural of kruopos, groats",Grains and grain-based products,,
937cdf7b-e536-553a-892a-8d5fc284305f,lt,Perlinės,pearl (barley),"pearled, said of barley polished round",Grains and grain-based products,Grains for human consumption,Barley grain
8d52d55f-41a8-5be6-b3cf-e7bb9123e942,lt,Avižos,oats,oats,Grains and grain-based products,,
bc2bba6a-c79c-5390-96cb-edd9740bf52a,lt,Avižiniai,oat (oaten),"oaten, made of oats",Grains and grain-based products,Breakfast cereals,
da1677cb-0853-5b49-a811-97b2bfb24239,lt,Manai,semolina,"semolina, coarse wheat meal cooked as porridge",Grains and grain-based products,Grain milling products,
90fd876a-1ada-564b-8de9-6473dda8a91e,lt,Kuskusas,couscous,"couscous, steamed semolina grains",Grains and grain-based products,Grain milling products,Wheat milling products
2ff4ba3d-df7e-515f-a1e7-a62716342ac1,lt,Bulguras,bulgur,"bulgur, parboiled cracked wheat",Grains and grain-based products,Grains for human consumption,Wheat grain
1c74a7ca-2f18-5fc8-8652-11ee20edb266,lt,Sorų,millet (of millet),"the genitive plural of soros, millet",Grains and grain-based products,Grains for human consumption,Millet grain
c6d1113d-5a35-5d8e-8d48-b39064adc996,lt,Košė,porridge,"porridge, grain cooked soft in liquid",Grains and grain-based products,,
9a491eab-c254-5d9c-8fb0-98e13ea56133,lt,Sėmenys,linseed,linseed (flaxseed),"Legumes, nuts and oilseeds",Oilseeds,Linseed (Linum usitatissimum)
