id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
98e4fb0f-fb85-5e5b-b8d8-2795f3a8b47f,lt,Riešutai,nuts,"nuts; žemės riešutai, ground nuts, are peanuts","Legumes, nuts and oilseeds",,
4812c545-0493-50b4-bac6-48fbc5e395eb,lt,Žemės riešutai,peanuts,"peanuts, literally ground nuts, which are a legume","Legumes, nuts and oilseeds","Legumes, beans, dried",Peanut (Arachis hypogea)
840fcf45-dd51-50aa-8dec-f3428bf31695,lt,Migdolai,almonds,almonds,"Legumes, nuts and oilseeds",Tree nuts,"Almond, sweet (Prunus amygalus dulcis)"
6166fecb-c1ca-5cf1-b8f1-46c73b4017d1,lt,Lazdyno,hazel (of hazel),"the genitive of lazdynas, hazel: lazdyno riešutai are hazelnuts","Legumes, nuts and oilseeds",Tree nuts,Hazelnuts (Corylus avellana)
b1573f14-975d-5a0b-a6a6-3713733b47e6,lt,Graikiniai,walnut (Greek),"Greek, as in graikiniai riešutai, walnuts","Legumes, nuts and oilseeds",Tree nuts,Walnuts (Juglans regia)
c3ed8a4b-b8a8-58bc-97e6-628c17b88d59,lt,Anakardžiai,cashews,cashew nuts,"Legumes, nuts and oilseeds",Tree nuts,Cashew nuts (Anacardium occidentale)
49cca59d-e2bf-5cc0-b77e-b92051471cf7,lt,Pistacijos,pistachios,pistachios,"Legumes, nuts and oilseeds",Tree nuts,Pistachios (Pistachia vera)
9f088761-6103-5509-a7ca-de25ec5dbd9c,lt,Saulėgrąžos,sunflower seeds,sunflower seeds,"Legumes, nuts and oilseeds",Oilseeds,Sunflower seed (Helianthus annuus)
1c9ca9fd-1c20-58e2-a6a5-760e967759bd,lt,Moliūgų,pumpkin (of pumpkins),"the genitive plural of moliūgas, pumpkin: moliūgų sėklos are pumpkin seeds","Legumes, nuts and oilseeds",Oilseeds,Pumpkin seeds (Cucurbita pepo var. oleifera)
1c7742dd-e6a9-56df-8f7b-f5a064617d6f,lt,Razinos,raisins,"raisins, dried grapes",Fruit and fruit products,Dried fruits,"Dried vine fruits (currants, raisins and sultanas)"
60ac2474-9e12-5a91-b220-763cc8bd1713,lt,Abrikosai,apricots,apricots,Fruit and fruit products,Stone fruits,Apricots (Prunus armeniaca)
01e93bac-a167-5a43-92e8-50338e4d8e07,lt,Bertoletijos,Brazil nuts,Brazil nuts,"Legumes, nuts and oilseeds",Tree nuts,Brazil nuts (Bertholletia excelsa)
8a9a25df-cde2-5b74-ba39-30ad32d32344,lt,Pinijos,pine nuts,pine nuts,"Legumes, nuts and oilseeds",Tree nuts,Pine nuts (Pinus pinea)
af958ab1-536e-5e46-8ab2-501f338ecc36,lt,Pinijų,pine nut (of pine nuts),"the genitive plural of pinija, pine nut","Legumes, nuts and oilseeds",Tree nuts,Pine nuts (Pinus pinea)
a825996a-75de-5ecd-ae9a-cc8033494cc3,lt,Pupos,broad beans,broad beans (fava beans),"Legumes, nuts and oilseeds","Legumes, beans, dried",Broad bean (Vicia faba)
967b815c-3971-51bd-aff3-b1960495b2e2,lt,Studentų maistas,trail mix,"student food, the Lithuanian name for a trail mix of nuts and dried fruit","Legumes, nuts and oilseeds",Tree nuts,Mixed nuts and dried fruits
