id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
2e5089fb-6be8-5464-b10e-6050d975fcca,lt,Vaflis,wafer,a wafer biscuit,Grains and grain-based products,Fine bakery wares,Biscuits (cookies)
810c9bef-47da-50d4-ac0e-bdd78096e98f,lt,Ledinukas,hard candy,a boiled sugar sweet on a stick or loose,Sugar and confectionary,Confectionery (non-chocolate),"Candies, with sugar"
60b55019-bdc9-5a19-9f89-c9cc13a62854,lt,Kąsneliai,bites,bite-sized pieces,,,
58c0634f-1244-582e-922b-7ef6d37fd0ea,lt,Lazdelė,stick,"a stick, the shape a snack is pressed into",,,
a828483a-45b7-5f6a-9e63-520199e6eb8a,lt,Eritritolis,erythritol,"erythritol, a polyol sweetener the body does not burn",Sugar and confectionary,Sugar substitutes,
f2e2ae15-0bcb-5f25-ba42-769e40e329e6,lt,Ksilitolis,xylitol,"xylitol, a polyol sweetener",Sugar and confectionary,Sugar substitutes,
514cdb3a-03ce-5be2-bc57-92502a3be7e7,lt,Stevijos,stevia (of stevia),"the genitive of stevija, the sweet leaf",Sugar and confectionary,Sugar substitutes,
fbb52b48-2103-5f5c-9ad9-4d5e907a3d87,lt,Inulinas,inulin,"inulin, a soluble fibre from chicory root",Products for special nutritional use,Dietary supplements,
73cea766-76c5-5c88-8642-55006f87c559,lt,Gysločio luobelės,psyllium husk,"psyllium husk, the seed coat of Plantago ovata, eaten as fibre",Products for special nutritional use,Dietary supplements,
3140bd0c-ae55-5c2f-8aab-77c8a9554611,lt,Mačia,matcha,"the Lithuanian spelling of matcha, powdered green tea",Non-alcoholic beverages (excepting milk based beverages),Tea (Infusion),"Green tee, infusion"
a0f9abc6-44d4-599e-a1fb-99b27d09d922,lt,Trešnių,sweet cherry (of cherries),"the genitive plural of trešnė, sweet cherry",Fruit and fruit products,Stone fruits,Sweet cherry (Prunus avium)
